analysis_set,budget_pairs,repeat,difference,comparison,metric
butyrate_assembly_2021,5,1,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,2,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,5,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,6,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,7,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,8,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,9,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,10,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,11,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,12,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,13,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,14,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,15,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,16,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,17,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,18,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,5,20,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,1,0.1644230769230769,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,2,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,5,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,6,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,7,0.09925673742352603,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,8,-0.02083333333333337,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,9,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,10,0.00923018391505781,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,11,-0.10277777777777775,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,12,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,13,-0.014745373673944795,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,14,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,15,-0.06428571428571417,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,16,-0.03096934820510433,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,17,0.0322519432697298,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,18,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,10,20,0.14474358974358964,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,1,0.16987762237762238,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,2,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,5,-0.038690476190476386,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,6,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,7,0.00953293517208098,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,8,-0.021031746031746068,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,9,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,10,0.021787048152594357,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,11,-0.04166666666666663,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,12,-0.0054016620498613666,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,13,0.03177259248687836,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,14,0.0,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,15,0.03571428571428559,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,16,-0.03096934820510433,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,17,0.0981055476510021,LENS distributed minus LENS restricted,auprc
butyrate_assembly_2021,13,18,0.10064708019253477,LENS distributed minus LENS restricted,auprc
