analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,reserved_taxa,test_taxa_with_pairs,restricted_pool,distributed_pool
butyrate_assembly_2021,1,ok,17,5,12,10,10,36,87
butyrate_assembly_2021,2,ok,30,22,8,10,10,14,74
butyrate_assembly_2021,3,one_test_class,8,8,0,10,9,50,96
butyrate_assembly_2021,4,no_test_pairs,0,0,0,10,0,59,104
butyrate_assembly_2021,5,ok,9,8,1,10,10,47,95
butyrate_assembly_2021,6,ok,7,3,4,10,8,52,97
butyrate_assembly_2021,7,ok,24,21,3,10,10,26,80
butyrate_assembly_2021,8,ok,14,12,2,10,9,39,90
butyrate_assembly_2021,9,ok,15,7,8,10,10,40,89
butyrate_assembly_2021,10,ok,22,14,8,10,10,23,82
butyrate_assembly_2021,11,ok,8,6,2,10,9,50,96
butyrate_assembly_2021,12,ok,20,19,1,10,9,26,84
butyrate_assembly_2021,13,ok,16,14,2,10,10,36,88
butyrate_assembly_2021,14,ok,8,6,2,10,9,52,96
butyrate_assembly_2021,15,ok,8,7,1,10,9,49,96
butyrate_assembly_2021,16,ok,29,22,7,10,10,13,75
butyrate_assembly_2021,17,ok,28,22,6,10,10,14,76
butyrate_assembly_2021,18,ok,16,11,5,10,10,38,88
butyrate_assembly_2021,19,one_test_class,8,8,0,10,9,48,96
butyrate_assembly_2021,20,ok,13,5,8,10,10,40,91
carlstrom_phyllosphere_2019,1,ok,186,28,158,22,22,297,803
carlstrom_phyllosphere_2019,2,ok,126,14,112,22,22,392,863
carlstrom_phyllosphere_2019,3,ok,126,7,119,22,22,392,863
carlstrom_phyllosphere_2019,4,ok,195,14,181,22,22,275,794
carlstrom_phyllosphere_2019,5,ok,165,23,142,22,22,338,824
carlstrom_phyllosphere_2019,6,ok,165,31,134,22,22,338,824
carlstrom_phyllosphere_2019,7,ok,186,27,159,22,22,297,803
carlstrom_phyllosphere_2019,8,ok,176,20,156,22,22,318,813
carlstrom_phyllosphere_2019,9,ok,176,28,148,22,22,318,813
carlstrom_phyllosphere_2019,10,ok,186,27,159,22,22,297,803
carlstrom_phyllosphere_2019,11,ok,165,30,135,22,22,338,824
carlstrom_phyllosphere_2019,12,ok,153,13,140,22,22,357,836
carlstrom_phyllosphere_2019,13,ok,176,13,163,22,22,318,813
carlstrom_phyllosphere_2019,14,ok,176,33,143,22,22,318,813
carlstrom_phyllosphere_2019,15,ok,153,17,136,22,22,357,836
carlstrom_phyllosphere_2019,16,ok,140,7,133,22,22,375,849
carlstrom_phyllosphere_2019,17,ok,176,24,152,22,22,318,813
carlstrom_phyllosphere_2019,18,ok,186,28,158,22,22,297,803
carlstrom_phyllosphere_2019,19,ok,176,23,153,22,22,318,813
carlstrom_phyllosphere_2019,20,ok,176,23,153,22,22,318,813
schafer_phyllosphere_2022,1,ok,279,17,262,51,51,490,1245
schafer_phyllosphere_2022,2,ok,96,2,94,51,51,753,1428
schafer_phyllosphere_2022,3,ok,279,8,271,51,51,483,1245
schafer_phyllosphere_2022,4,ok,237,6,231,51,51,552,1287
schafer_phyllosphere_2022,5,ok,145,6,139,51,51,688,1379
schafer_phyllosphere_2022,6,ok,329,4,325,51,51,416,1195
schafer_phyllosphere_2022,7,ok,234,2,232,51,51,563,1290
schafer_phyllosphere_2022,8,ok,187,14,173,51,51,628,1337
schafer_phyllosphere_2022,9,ok,183,8,175,51,51,632,1341
schafer_phyllosphere_2022,10,ok,323,5,318,51,51,417,1201
schafer_phyllosphere_2022,11,ok,232,14,218,51,51,563,1292
schafer_phyllosphere_2022,12,ok,316,11,305,51,51,433,1208
schafer_phyllosphere_2022,13,ok,275,10,265,51,51,494,1249
schafer_phyllosphere_2022,14,ok,278,7,271,51,51,492,1246
schafer_phyllosphere_2022,15,ok,327,4,323,51,51,416,1197
schafer_phyllosphere_2022,16,ok,282,5,277,51,51,488,1242
schafer_phyllosphere_2022,17,ok,319,4,315,51,51,428,1205
schafer_phyllosphere_2022,18,ok,234,13,221,51,51,560,1290
schafer_phyllosphere_2022,19,ok,359,10,349,51,51,357,1165
schafer_phyllosphere_2022,20,ok,189,10,179,51,51,627,1335
