analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,reserved_taxa,test_taxa_with_pairs,restricted_pool,distributed_pool
schafer_phyllosphere_2022,1,ok,279,17,262,51,51,490,1245
schafer_phyllosphere_2022,2,ok,96,2,94,51,51,753,1428
schafer_phyllosphere_2022,3,ok,279,8,271,51,51,483,1245
schafer_phyllosphere_2022,4,ok,237,6,231,51,51,552,1287
schafer_phyllosphere_2022,5,ok,145,6,139,51,51,688,1379
schafer_phyllosphere_2022,6,ok,329,4,325,51,51,416,1195
schafer_phyllosphere_2022,7,ok,234,2,232,51,51,563,1290
schafer_phyllosphere_2022,8,ok,187,14,173,51,51,628,1337
schafer_phyllosphere_2022,9,ok,183,8,175,51,51,632,1341
schafer_phyllosphere_2022,10,ok,323,5,318,51,51,417,1201
schafer_phyllosphere_2022,11,ok,232,14,218,51,51,563,1292
schafer_phyllosphere_2022,12,ok,316,11,305,51,51,433,1208
schafer_phyllosphere_2022,13,ok,275,10,265,51,51,494,1249
schafer_phyllosphere_2022,14,ok,278,7,271,51,51,492,1246
schafer_phyllosphere_2022,15,ok,327,4,323,51,51,416,1197
schafer_phyllosphere_2022,16,ok,282,5,277,51,51,488,1242
schafer_phyllosphere_2022,17,ok,319,4,315,51,51,428,1205
schafer_phyllosphere_2022,18,ok,234,13,221,51,51,560,1290
schafer_phyllosphere_2022,19,ok,359,10,349,51,51,357,1165
schafer_phyllosphere_2022,20,ok,189,10,179,51,51,627,1335
