analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
schafer_phyllosphere_2022,1,357,restricted,lambda=0.01,3,0.25
schafer_phyllosphere_2022,1,357,restricted,lambda=0.1,3,0.25
schafer_phyllosphere_2022,1,357,restricted,lambda=1,3,0.25
schafer_phyllosphere_2022,1,357,restricted,lambda=10,3,0.25
schafer_phyllosphere_2022,1,357,distributed,lambda=0.01,3,0.39484359726295204
schafer_phyllosphere_2022,1,357,distributed,lambda=0.1,3,0.278615520282187
schafer_phyllosphere_2022,1,357,distributed,lambda=1,3,0.2832492199158866
schafer_phyllosphere_2022,1,357,distributed,lambda=10,3,0.2664443953237057
schafer_phyllosphere_2022,2,50,restricted,lambda=0.01,2,1.0
schafer_phyllosphere_2022,2,50,restricted,lambda=0.1,2,1.0
schafer_phyllosphere_2022,2,50,restricted,lambda=1,2,1.0
schafer_phyllosphere_2022,2,50,restricted,lambda=10,2,1.0
schafer_phyllosphere_2022,2,50,distributed,lambda=0.01,2,0.75
schafer_phyllosphere_2022,2,50,distributed,lambda=0.1,2,0.75
schafer_phyllosphere_2022,2,50,distributed,lambda=1,2,0.75
schafer_phyllosphere_2022,2,50,distributed,lambda=10,2,0.75
schafer_phyllosphere_2022,2,100,restricted,lambda=0.01,3,1.0
schafer_phyllosphere_2022,2,100,restricted,lambda=0.1,3,1.0
schafer_phyllosphere_2022,2,100,restricted,lambda=1,3,1.0
schafer_phyllosphere_2022,2,100,restricted,lambda=10,3,1.0
schafer_phyllosphere_2022,2,100,distributed,lambda=0.01,3,0.1238679902473006
schafer_phyllosphere_2022,2,100,distributed,lambda=0.1,3,0.21792929292929294
schafer_phyllosphere_2022,2,100,distributed,lambda=1,3,0.3034511784511784
schafer_phyllosphere_2022,2,100,distributed,lambda=10,3,0.3833333333333333
schafer_phyllosphere_2022,2,200,restricted,lambda=0.01,3,0.3778010557511992
schafer_phyllosphere_2022,2,200,restricted,lambda=0.1,3,0.4977025898078529
schafer_phyllosphere_2022,2,200,restricted,lambda=1,3,0.4999398749398749
schafer_phyllosphere_2022,2,200,restricted,lambda=10,3,0.5121903242955875
schafer_phyllosphere_2022,2,200,distributed,lambda=0.01,3,0.61010101010101
schafer_phyllosphere_2022,2,200,distributed,lambda=0.1,3,0.5281746031746032
schafer_phyllosphere_2022,2,200,distributed,lambda=1,3,0.4883597883597883
schafer_phyllosphere_2022,2,200,distributed,lambda=10,3,0.46772486772486777
schafer_phyllosphere_2022,2,357,restricted,lambda=0.01,3,0.5387205387205387
schafer_phyllosphere_2022,2,357,restricted,lambda=0.1,3,0.4726992211712076
schafer_phyllosphere_2022,2,357,restricted,lambda=1,3,0.331051337914083
schafer_phyllosphere_2022,2,357,restricted,lambda=10,3,0.32134208384208385
schafer_phyllosphere_2022,2,357,distributed,lambda=0.01,3,0.24734110677408216
schafer_phyllosphere_2022,2,357,distributed,lambda=0.1,3,0.23227713360994326
schafer_phyllosphere_2022,2,357,distributed,lambda=1,3,0.25627685627194663
schafer_phyllosphere_2022,2,357,distributed,lambda=10,3,0.2749306235264489
schafer_phyllosphere_2022,3,200,restricted,lambda=0.01,3,0.17777777777777778
schafer_phyllosphere_2022,3,200,restricted,lambda=0.1,3,0.17777777777777778
schafer_phyllosphere_2022,3,200,restricted,lambda=1,3,0.17777777777777778
schafer_phyllosphere_2022,3,200,restricted,lambda=10,3,0.17777777777777778
schafer_phyllosphere_2022,3,200,distributed,lambda=0.01,3,0.43703703703703706
schafer_phyllosphere_2022,3,200,distributed,lambda=0.1,3,0.43703703703703706
schafer_phyllosphere_2022,3,200,distributed,lambda=1,3,0.43703703703703706
schafer_phyllosphere_2022,3,200,distributed,lambda=10,3,0.43703703703703706
schafer_phyllosphere_2022,3,357,restricted,lambda=0.01,3,0.37234993614303963
schafer_phyllosphere_2022,3,357,restricted,lambda=0.1,3,0.3752723311546841
schafer_phyllosphere_2022,3,357,restricted,lambda=1,3,0.23297655734096412
schafer_phyllosphere_2022,3,357,restricted,lambda=10,3,0.1541179337231969
schafer_phyllosphere_2022,3,357,distributed,lambda=0.01,3,0.2325241479789206
schafer_phyllosphere_2022,3,357,distributed,lambda=0.1,3,0.26761336917366096
schafer_phyllosphere_2022,3,357,distributed,lambda=1,3,0.3189438611196855
schafer_phyllosphere_2022,3,357,distributed,lambda=10,3,0.38128815628815627
schafer_phyllosphere_2022,4,50,restricted,lambda=0.01,2,0.5833333333333334
schafer_phyllosphere_2022,4,50,restricted,lambda=0.1,2,0.5833333333333334
schafer_phyllosphere_2022,4,50,restricted,lambda=1,2,0.5833333333333334
schafer_phyllosphere_2022,4,50,restricted,lambda=10,2,0.5833333333333334
schafer_phyllosphere_2022,4,100,restricted,lambda=0.01,3,0.3444444444444444
schafer_phyllosphere_2022,4,100,restricted,lambda=0.1,3,0.3444444444444444
schafer_phyllosphere_2022,4,100,restricted,lambda=1,3,0.3444444444444444
schafer_phyllosphere_2022,4,100,restricted,lambda=10,3,0.3444444444444444
schafer_phyllosphere_2022,4,100,distributed,lambda=0.01,3,0.3
schafer_phyllosphere_2022,4,100,distributed,lambda=0.1,3,0.3
schafer_phyllosphere_2022,4,100,distributed,lambda=1,3,0.3
schafer_phyllosphere_2022,4,100,distributed,lambda=10,3,0.3
schafer_phyllosphere_2022,4,200,restricted,lambda=0.01,3,0.39985754985754984
schafer_phyllosphere_2022,4,200,restricted,lambda=0.1,3,0.17103515279985868
schafer_phyllosphere_2022,4,200,restricted,lambda=1,3,0.18729674796747967
schafer_phyllosphere_2022,4,200,restricted,lambda=10,3,0.354040404040404
schafer_phyllosphere_2022,4,200,distributed,lambda=0.01,3,0.35428460428460423
schafer_phyllosphere_2022,4,200,distributed,lambda=0.1,3,0.38893298059964726
schafer_phyllosphere_2022,4,200,distributed,lambda=1,3,0.4855555555555555
schafer_phyllosphere_2022,4,200,distributed,lambda=10,3,0.5989729225023342
schafer_phyllosphere_2022,4,357,restricted,lambda=0.01,3,0.36457866845797876
schafer_phyllosphere_2022,4,357,restricted,lambda=0.1,3,0.36628487253487246
schafer_phyllosphere_2022,4,357,restricted,lambda=1,3,0.3289428164428165
schafer_phyllosphere_2022,4,357,restricted,lambda=10,3,0.30497557997557995
schafer_phyllosphere_2022,4,357,distributed,lambda=0.01,3,0.186523612838802
