analysis_set,budget_pairs,method,partitions,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_test_pairs,fallback_rate,mean_training_interactions,mean_test_taxon_coverage
butyrate_assembly_2021,5,Fixed mean,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,,,
butyrate_assembly_2021,5,LENS distributed,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,1.0,3.588235294117647,0.27483660130718957
butyrate_assembly_2021,5,LENS restricted,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,1.0,3.7058823529411766,0.0
butyrate_assembly_2021,5,OneNet,17,0.7548015211159496,0.16022921130621562,0.4784087000031272,0.23386952039615203,16.705882352941178,,,
butyrate_assembly_2021,5,PLNNetwork,17,0.7277567851056351,0.1920464856549591,0.4381687842601155,0.24507336400258528,16.705882352941178,,,
butyrate_assembly_2021,5,Poisson GLMNet,17,0.7142301351346024,0.18675083384067245,0.4561496488547572,0.19152261595559095,16.705882352941178,,,
butyrate_assembly_2021,5,SPIEC-EASI,17,0.7070369304097379,0.19838314179809607,0.5026737967914439,0.007547854138125805,16.705882352941178,,,
butyrate_assembly_2021,5,SparCC,17,0.7925773176898,0.1830998757888209,0.5652131666063555,0.21560469044848235,16.705882352941178,,,
butyrate_assembly_2021,10,Fixed mean,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,,,
butyrate_assembly_2021,10,LENS distributed,17,0.7506838719701818,0.16583062289793407,0.500996530988791,0.18366506633904156,16.705882352941178,0.17647058823529413,7.117647058823529,0.4140522875816993
butyrate_assembly_2021,10,LENS restricted,17,0.7379606964408227,0.20883866122751832,0.5037201962124563,0.20227029606662805,16.705882352941178,0.4117647058823529,7.176470588235294,0.0
butyrate_assembly_2021,10,OneNet,17,0.7548015211159496,0.16022921130621562,0.4784087000031272,0.23386952039615203,16.705882352941178,,,
butyrate_assembly_2021,10,PLNNetwork,17,0.7277567851056351,0.1920464856549591,0.4381687842601155,0.24507336400258528,16.705882352941178,,,
butyrate_assembly_2021,10,Poisson GLMNet,17,0.7142301351346024,0.18675083384067245,0.4561496488547572,0.19152261595559095,16.705882352941178,,,
butyrate_assembly_2021,10,SPIEC-EASI,17,0.7070369304097379,0.19838314179809607,0.5026737967914439,0.007547854138125805,16.705882352941178,,,
butyrate_assembly_2021,10,SparCC,17,0.7925773176898,0.1830998757888209,0.5652131666063555,0.21560469044848235,16.705882352941178,,,
butyrate_assembly_2021,13,Fixed mean,17,0.7358133131481025,0.20418267816072397,0.5116278329513624,0.2177740452890527,16.705882352941178,,,
butyrate_assembly_2021,13,LENS distributed,17,0.7446119394592988,0.1723501581496001,0.4912881021627152,0.1908432254001639,16.705882352941178,0.17647058823529413,9.235294117647058,0.4638888888888889
butyrate_assembly_2021,13,LENS restricted,17,0.720905436757153,0.19966415638543278,0.47685892538833713,0.21578606672189138,16.705882352941178,0.29411764705882354,9.588235294117647,0.0
butyrate_assembly_2021,13,OneNet,17,0.7548015211159496,0.16022921130621562,0.4784087000031272,0.23386952039615203,16.705882352941178,,,
butyrate_assembly_2021,13,PLNNetwork,17,0.7277567851056351,0.1920464856549591,0.4381687842601155,0.24507336400258528,16.705882352941178,,,
butyrate_assembly_2021,13,Poisson GLMNet,17,0.7142301351346024,0.18675083384067245,0.4561496488547572,0.19152261595559095,16.705882352941178,,,
butyrate_assembly_2021,13,SPIEC-EASI,17,0.7070369304097379,0.19838314179809607,0.5026737967914439,0.007547854138125805,16.705882352941178,,,
butyrate_assembly_2021,13,SparCC,17,0.7925773176898,0.1830998757888209,0.5652131666063555,0.21560469044848235,16.705882352941178,,,
carlstrom_phyllosphere_2019,5,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,5,LENS distributed,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,1.0,0.8,0.12727272727272723
carlstrom_phyllosphere_2019,5,LENS restricted,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,1.0,0.7,0.0
carlstrom_phyllosphere_2019,5,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,5,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,5,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,5,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,5,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,10,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,10,LENS distributed,20,0.13507353395605332,0.043262184091583,0.463485961740873,0.04559300457973507,168.2,0.95,1.35,0.22499999999999995
carlstrom_phyllosphere_2019,10,LENS restricted,20,0.1401399282548202,0.04255176476612603,0.4720136676510475,0.05487252200259149,168.2,0.75,1.3,0.0
carlstrom_phyllosphere_2019,10,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,10,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,10,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,10,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,10,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,20,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,20,LENS distributed,20,0.13989270557617056,0.039907359041372804,0.48116442487772054,0.05686259264291342,168.2,0.55,2.5,0.39545454545454545
carlstrom_phyllosphere_2019,20,LENS restricted,20,0.1527896000565367,0.05257563997929486,0.4871367508690881,0.07090578347702144,168.2,0.6,2.5,0.0
carlstrom_phyllosphere_2019,20,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,20,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,20,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,20,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,20,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,50,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,50,LENS distributed,20,0.18192360496730908,0.07613997177329197,0.5531623376889445,0.0969166000501741,168.2,0.05,6.2,0.7113636363636363
carlstrom_phyllosphere_2019,50,LENS restricted,20,0.18631566953121168,0.07230351822065934,0.5320646410427042,0.10412175378528404,168.2,0.05,6.05,0.0
carlstrom_phyllosphere_2019,50,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,50,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,50,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,50,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,50,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,100,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,100,LENS distributed,20,0.19671440758354625,0.07970775634885144,0.5852352336905781,0.08645128697943441,168.2,0.0,11.85,0.8818181818181818
carlstrom_phyllosphere_2019,100,LENS restricted,20,0.18177318767184733,0.0645519890047399,0.5537040110817186,0.10483885208639854,168.2,0.0,12.5,0.0
carlstrom_phyllosphere_2019,100,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,100,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,100,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,100,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,100,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,200,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,200,LENS distributed,20,0.21962381976669168,0.07595302676845496,0.6186192157418593,0.08793801690618522,168.2,0.0,25.5,0.9840909090909091
