"taxon_1","taxon_2","onenet_score"
"AC","BA",0.166666666666667
"AC","BC",0.455555555555556
"AC","BF",0.194444444444444
"AC","BH",0.383333333333333
"AC","BL",0.333333333333333
"AC","BO",0.138888888888889
"AC","BP",0.35
"AC","BT",0.194444444444444
"AC","BU",0.272222222222222
"AC","BV",0.388888888888889
"AC","BY",0.244444444444444
"AC","CA",0.144444444444444
"AC","CC",0.566666666666667
"AC","CG",0.233333333333333
"AC","CH",0.261111111111111
"AC","DF",0.138888888888889
"AC","DL",0.105555555555556
"AC","DP",0.444444444444444
"AC","EL",0.361111111111111
"AC","ER",0.361111111111111
"AC","FP",0.433333333333333
"AC","HB",0.127777777777778
"AC","PC",0.188888888888889
"AC","PJ",0.15
"AC","RI",0.544444444444444
"BA","BC",0.0888888888888889
"BA","BF",0.0388888888888889
"BA","BH",0.0388888888888889
"BA","BL",0.622222222222222
"BA","BO",0.227777777777778
"BA","BP",0.694444444444445
"BA","BT",0.0333333333333333
"BA","BU",0.0611111111111111
"BA","BV",0.0444444444444444
"BA","BY",0.0833333333333333
"BA","CA",0.138888888888889
"BA","CC",0.233333333333333
"BA","CG",0.0555555555555556
"BA","CH",0.05
"BA","DF",0.0444444444444444
"BA","DL",0.0388888888888889
"BA","DP",0.488888888888889
"BA","EL",0.111111111111111
"BA","ER",0.466666666666667
"BA","FP",0.0944444444444444
"BA","HB",0.288888888888889
"BA","PC",0.0388888888888889
"BA","PJ",0.05
"BA","RI",0.15
"BC","BF",0.0944444444444444
"BC","BH",0.205555555555556
"BC","BL",0.538888888888889
"BC","BO",0.122222222222222
"BC","BP",0.0444444444444444
"BC","BT",0.433333333333333
"BC","BU",0.0777777777777778
"BC","BV",0.338888888888889
"BC","BY",0.0111111111111111
"BC","CA",0.116666666666667
"BC","CC",0.6
"BC","CG",0.25
"BC","CH",0.05
"BC","DF",0.0722222222222222
"BC","DL",0.0277777777777778
"BC","DP",0.188888888888889
"BC","EL",0.344444444444444
"BC","ER",0.533333333333333
"BC","FP",0.594444444444444
"BC","HB",0.322222222222222
"BC","PC",0.183333333333333
"BC","PJ",0.0944444444444444
"BC","RI",0.466666666666667
"BF","BH",0.183333333333333
"BF","BL",0.0166666666666667
"BF","BO",0.0111111111111111
"BF","BP",0.0666666666666667
"BF","BT",0.172222222222222
"BF","BU",0.0388888888888889
"BF","BV",0.0388888888888889
"BF","BY",0.183333333333333
"BF","CA",0.416666666666667
"BF","CC",0.288888888888889
"BF","CG",0.294444444444444
"BF","CH",0.222222222222222
"BF","DF",0.0722222222222222
"BF","DL",0.205555555555556
"BF","DP",0.0611111111111111
"BF","EL",0.0944444444444444
"BF","ER",0.183333333333333
"BF","FP",0.272222222222222
"BF","HB",0.277777777777778
"BF","PC",0.1
"BF","PJ",0.0555555555555556
"BF","RI",0.138888888888889
"BH","BL",0.138888888888889
"BH","BO",0.0277777777777778
"BH","BP",0.205555555555556
"BH","BT",0.0333333333333333
"BH","BU",0.144444444444444
"BH","BV",0.0944444444444444
"BH","BY",0.116666666666667
"BH","CA",0.666666666666667
"BH","CC",0.383333333333333
"BH","CG",0.0722222222222222
"BH","CH",0.205555555555556
"BH","DF",0.0666666666666667
"BH","DL",0.0722222222222222
"BH","DP",0.483333333333333
"BH","EL",0.427777777777778
"BH","ER",0.127777777777778
"BH","FP",0.227777777777778
"BH","HB",0.133333333333333
"BH","PC",0.0777777777777778
"BH","PJ",0.0888888888888889
"BH","RI",0.172222222222222
"BL","BO",0.0555555555555556
"BL","BP",0.688888888888889
"BL","BT",0.0111111111111111
"BL","BU",0.172222222222222
"BL","BV",0.0666666666666667
"BL","BY",0.216666666666667
"BL","CA",0.222222222222222
"BL","CC",0.305555555555556
"BL","CG",0.477777777777778
"BL","CH",0.2
"BL","DF",0.35
"BL","DL",0.233333333333333
"BL","DP",0.194444444444444
"BL","EL",0.45
"BL","ER",0.222222222222222
"BL","FP",0.494444444444444
"BL","HB",0.311111111111111
"BL","PC",0.261111111111111
"BL","PJ",0.211111111111111
"BL","RI",0.144444444444444
"BO","BP",0.1
"BO","BT",0.666666666666667
"BO","BU",0.0111111111111111
"BO","BV",0.422222222222222
"BO","BY",0.355555555555556
"BO","CA",0.105555555555556
"BO","CC",0.216666666666667
"BO","CG",0.433333333333333
"BO","CH",0.25
"BO","DF",0.0166666666666667
"BO","DL",0.0833333333333333
"BO","DP",0.438888888888889
