"taxon_1","taxon_2","onenet_score"
"DC3000","Leaf10",0
"DC3000","Leaf106",0.388888888888889
"DC3000","Leaf122",0.205555555555556
"DC3000","Leaf126",0.00555555555555556
"DC3000","Leaf127",0.0388888888888889
"DC3000","Leaf129",0.0388888888888889
"DC3000","Leaf13",0
"DC3000","Leaf130",0.0666666666666667
"DC3000","Leaf131",0.0555555555555556
"DC3000","Leaf132",0.0444444444444444
"DC3000","Leaf137",0.0944444444444444
"DC3000","Leaf141",0.0111111111111111
"DC3000","Leaf145",0.111111111111111
"DC3000","Leaf15",0.0388888888888889
"DC3000","Leaf151",0.0111111111111111
"DC3000","Leaf160",0.133333333333333
"DC3000","Leaf161",0.0611111111111111
"DC3000","Leaf164",0.0166666666666667
"DC3000","Leaf168",0.0166666666666667
"DC3000","Leaf17",0.0166666666666667
"DC3000","Leaf176",0.0888888888888889
"DC3000","Leaf177",0.177777777777778
"DC3000","Leaf180",0.0388888888888889
"DC3000","Leaf182",0.122222222222222
"DC3000","Leaf183",0.0111111111111111
"DC3000","Leaf185",0.0277777777777778
"DC3000","Leaf187",0.0222222222222222
"DC3000","Leaf189",0.0722222222222222
"DC3000","Leaf2",0.0222222222222222
"DC3000","Leaf201",0.0222222222222222
"DC3000","Leaf203",0.0444444444444444
"DC3000","Leaf208",0
"DC3000","Leaf21",0.0611111111111111
"DC3000","Leaf216",0.0888888888888889
"DC3000","Leaf220",0.0833333333333333
"DC3000","Leaf222",0.0111111111111111
"DC3000","Leaf225",0.127777777777778
"DC3000","Leaf226",0.0222222222222222
"DC3000","Leaf231",0.1
"DC3000","Leaf233",0.15
"DC3000","Leaf234",0.0888888888888889
"DC3000","Leaf242",0.0555555555555556
"DC3000","Leaf245",0.138888888888889
"DC3000","Leaf254",0.0611111111111111
"DC3000","Leaf257",0.0333333333333333
"DC3000","Leaf26",0.194444444444444
"DC3000","Leaf261",0.0666666666666667
"DC3000","Leaf262",0.116666666666667
"DC3000","Leaf263",0.00555555555555556
"DC3000","Leaf264",0
"DC3000","Leaf265",0.105555555555556
"DC3000","Leaf267",0.0555555555555556
"DC3000","Leaf274",0
"DC3000","Leaf28",0
"DC3000","Leaf280",0.00555555555555556
"DC3000","Leaf285",0.0611111111111111
"DC3000","Leaf288",0.0444444444444444
"DC3000","Leaf289",0.0222222222222222
"DC3000","Leaf299",0.0111111111111111
"DC3000","Leaf3",0.2
"DC3000","Leaf30",0.0777777777777778
"DC3000","Leaf304",0.0555555555555556
"DC3000","Leaf306",0.0222222222222222
"DC3000","Leaf311",0.0277777777777778
"DC3000","Leaf313",0.0222222222222222
