analysis_set,fold,budget_fraction,budget_pairs,test_pairs,test_positives,selected_setting,auprc,auroc,onenet_auprc,current_auprc
butyrate_assembly_2021,1,0.2,21,21,16,l1_C=1,0.9459224292863999,0.8250000000000001,0.760734430258424,0.8893384393384394
butyrate_assembly_2021,1,0.4,42,21,16,l1_C=1,0.85294145730001,0.65,0.760734430258424,0.8100922617007176
butyrate_assembly_2021,1,0.6,63,21,16,l1_C=1,0.7668682012432012,0.55,0.760734430258424,0.8374360117007176
butyrate_assembly_2021,1,0.8,83,21,16,l1_C=1,0.8125279234654235,0.6,0.760734430258424,0.8245828150070604
butyrate_assembly_2021,2,0.2,21,21,15,l1_C=1,0.9300840447821871,0.8222222222222223,0.7115148422269164,0.7597835497835498
butyrate_assembly_2021,2,0.4,42,21,15,l1_C=1,0.9449558396539821,0.8555555555555556,0.7115148422269164,0.9441161997044348
butyrate_assembly_2021,2,0.6,63,21,15,l1_C=1,0.9348785473785473,0.8222222222222222,0.7115148422269164,0.9313872619754971
butyrate_assembly_2021,2,0.8,83,21,15,l1_C=1,0.939761208576998,0.8333333333333334,0.7115148422269164,0.9558085433085431
butyrate_assembly_2021,3,0.2,21,21,15,l1_C=1,0.9362185962185962,0.8333333333333334,0.5919871282255184,0.7894740135452211
butyrate_assembly_2021,3,0.4,42,21,15,l1_C=1,0.9200671063828958,0.8333333333333334,0.5919871282255184,0.9397205953088306
butyrate_assembly_2021,3,0.6,63,21,15,l1_C=1,0.8733895733895733,0.7555555555555555,0.5919871282255184,0.7904406160288513
butyrate_assembly_2021,3,0.8,83,21,15,l1_C=1,0.9156715019872914,0.8222222222222223,0.5919871282255184,0.7904406160288513
butyrate_assembly_2021,4,0.2,21,21,15,l1_C=1,0.8293795640777065,0.6666666666666666,0.7254093378241985,0.8925375659199188
butyrate_assembly_2021,4,0.4,42,21,15,l1_C=1,0.8824076957900487,0.7777777777777778,0.7254093378241985,0.8568810002633532
butyrate_assembly_2021,4,0.6,63,21,15,l1_C=1,0.8661164869988399,0.7555555555555555,0.7254093378241985,0.8706157567922274
butyrate_assembly_2021,4,0.8,83,21,15,l1_C=1,0.8877956849938274,0.7888888888888889,0.7254093378241985,0.8764336102493997
butyrate_assembly_2021,5,0.2,21,20,15,l1_C=0.01,0.75,0.5,0.7945025133105628,0.872753276135629
butyrate_assembly_2021,5,0.4,42,20,15,l1_C=1,0.9523826173826173,0.8666666666666667,0.7945025133105628,0.9355697518855411
butyrate_assembly_2021,5,0.6,63,20,15,l1_C=1,0.9229563304485905,0.76,0.7945025133105628,0.8906582744740639
butyrate_assembly_2021,5,0.8,84,20,15,l1_C=1,0.9004655967813862,0.7466666666666667,0.7945025133105628,0.8880581893739788
carlstrom_phyllosphere_2019,1,0.2,198,198,25,l1_C=1,0.2621252010357065,0.6952601156069365,0.1135552959772802,0.2519192498250608
carlstrom_phyllosphere_2019,1,0.4,396,198,25,l1_C=0.1,0.22197241710899895,0.6538728323699422,0.1135552959772802,0.2084976475699894
carlstrom_phyllosphere_2019,1,0.6,594,198,25,l1_C=0.1,0.20515706396220584,0.6413872832369942,0.1135552959772802,0.1857219099422524
carlstrom_phyllosphere_2019,1,0.8,791,198,25,l1_C=0.1,0.22130939771292332,0.6457803468208093,0.1135552959772802,0.1985338941127196
carlstrom_phyllosphere_2019,2,0.2,198,198,25,l1_C=0.1,0.23177784577993107,0.7301734104046242,0.13798342535768357,0.2096817330540754
carlstrom_phyllosphere_2019,2,0.4,396,198,25,l1_C=0.1,0.30164952948254614,0.7463583815028902,0.13798342535768357,0.2683686171854084
carlstrom_phyllosphere_2019,2,0.6,594,198,25,l1_C=0.1,0.2502882744801022,0.7322543352601156,0.13798342535768357,0.2378363796199217
carlstrom_phyllosphere_2019,2,0.8,791,198,25,l1_C=0.1,0.30609875001003434,0.7551445086705202,0.13798342535768357,0.2564048634224435
carlstrom_phyllosphere_2019,3,0.2,198,198,25,l1_C=0.1,0.36251126809617584,0.728092485549133,0.12423110759299852,0.2943335968686074
carlstrom_phyllosphere_2019,3,0.4,396,198,25,l1_C=1,0.276362988867952,0.7146820809248555,0.12423110759299852,0.3030892932841998
carlstrom_phyllosphere_2019,3,0.6,594,198,25,l1_C=0.1,0.238118036306259,0.7264739884393063,0.12423110759299852,0.3297417825197507
carlstrom_phyllosphere_2019,3,0.8,791,198,25,l1_C=0.1,0.26681508117122676,0.7354913294797687,0.12423110759299852,0.3327262112409642
carlstrom_phyllosphere_2019,4,0.2,198,198,24,l1_C=1,0.23891884712721548,0.7181513409961685,0.10145689206129634,0.2542360147070392
carlstrom_phyllosphere_2019,4,0.4,396,198,24,l1_C=1,0.2532795599349498,0.7092911877394636,0.10145689206129634,0.2750878924931628
carlstrom_phyllosphere_2019,4,0.6,594,198,24,l1_C=0.1,0.3113042226502591,0.7420977011494254,0.10145689206129634,0.2623972127856213
carlstrom_phyllosphere_2019,4,0.8,791,198,24,l1_C=0.1,0.3092447096756475,0.7346743295019157,0.10145689206129634,0.2625038276937485
carlstrom_phyllosphere_2019,5,0.2,198,197,24,l1_C=1,0.2283615895324621,0.6257225433526012,0.14927105835229623,0.2532397623341601
carlstrom_phyllosphere_2019,5,0.4,396,197,24,l1_C=1,0.21569181052075542,0.63752408477842,0.14927105835229623,0.2425278042383015
carlstrom_phyllosphere_2019,5,0.6,594,197,24,l1_C=1,0.21330770550626238,0.6447495183044315,0.14927105835229623,0.2904812638988058
carlstrom_phyllosphere_2019,5,0.8,792,197,24,l1_C=0.1,0.29600441839440694,0.664980732177264,0.14927105835229623,0.3248626980999953
friedman_microcosm_2017,1,0.2,6,6,8,l1_C=0.01,0.6666666666666666,0.5,0.746875,0.5854166666666667
friedman_microcosm_2017,1,0.4,12,6,8,l1_C=0.01,0.6666666666666666,0.5,0.746875,0.5854166666666667
friedman_microcosm_2017,1,0.6,17,6,8,l1_C=0.01,0.6666666666666666,0.5,0.746875,0.5854166666666667
friedman_microcosm_2017,1,0.8,22,6,8,l1_C=1,0.5854166666666667,0.3125,0.746875,0.5854166666666667
friedman_microcosm_2017,2,0.2,6,6,6,l1_C=0.01,0.5,0.5,0.5333333333333333,0.4833333333333333
friedman_microcosm_2017,2,0.4,12,6,6,l1_C=0.01,0.5,0.5,0.5333333333333333,0.4097222222222222
friedman_microcosm_2017,2,0.6,17,6,6,l1_C=0.01,0.5,0.5,0.5333333333333333,0.4097222222222222
friedman_microcosm_2017,2,0.8,22,6,6,l1_C=0.01,0.5,0.5,0.5333333333333333,0.4624999999999999
friedman_microcosm_2017,3,0.2,6,6,6,l1_C=0.01,0.5,0.5,0.5763888888888888,0.4347222222222222
friedman_microcosm_2017,3,0.4,12,6,6,l1_C=0.01,0.5,0.5,0.5763888888888888,0.3930555555555555
friedman_microcosm_2017,3,0.6,17,6,6,l1_C=0.01,0.5,0.5,0.5763888888888888,0.4347222222222222
friedman_microcosm_2017,3,0.8,22,6,6,l1_C=0.01,0.5,0.5,0.5763888888888888,0.3930555555555555
friedman_microcosm_2017,4,0.2,6,5,8,l1_C=0.01,0.8,0.5,0.7520833333333333,0.8708333333333333
friedman_microcosm_2017,4,0.4,12,5,8,l1_C=0.01,0.8,0.5,0.7520833333333333,0.959375
