analysis_set,fold,budget_fraction,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,1,0.2,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,1,0.2,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,1,0.2,l1_C=1,3,0.9716931216931216
butyrate_assembly_2021,1,0.4,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,1,0.4,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,1,0.4,l1_C=1,3,0.9442027164754437
butyrate_assembly_2021,1,0.6,l1_C=0.01,3,0.7301587301587302
butyrate_assembly_2021,1,0.6,l1_C=0.1,3,0.8029730481936364
butyrate_assembly_2021,1,0.6,l1_C=1,3,0.919370059550013
butyrate_assembly_2021,1,0.8,l1_C=0.01,3,0.7231040564373897
butyrate_assembly_2021,1,0.8,l1_C=0.1,3,0.7947861679947875
butyrate_assembly_2021,1,0.8,l1_C=1,3,0.8823829839130407
butyrate_assembly_2021,2,0.2,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,2,0.2,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,2,0.2,l1_C=1,3,0.9698412698412698
butyrate_assembly_2021,2,0.4,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,2,0.4,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,2,0.4,l1_C=1,3,0.9354873241236877
butyrate_assembly_2021,2,0.6,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,2,0.6,l1_C=0.1,3,0.7603307079845392
butyrate_assembly_2021,2,0.6,l1_C=1,3,0.9019128060657667
butyrate_assembly_2021,2,0.8,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,2,0.8,l1_C=0.1,3,0.8068741849873172
butyrate_assembly_2021,2,0.8,l1_C=1,3,0.8649223639345709
butyrate_assembly_2021,3,0.2,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,3,0.2,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,3,0.2,l1_C=1,3,0.868015873015873
butyrate_assembly_2021,3,0.4,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,3,0.4,l1_C=0.1,3,0.7964285714285714
butyrate_assembly_2021,3,0.4,l1_C=1,3,0.8986751548115185
butyrate_assembly_2021,3,0.6,l1_C=0.01,3,0.746031746031746
butyrate_assembly_2021,3,0.6,l1_C=0.1,3,0.7355536667017574
butyrate_assembly_2021,3,0.6,l1_C=1,3,0.8985001208264559
butyrate_assembly_2021,3,0.8,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,3,0.8,l1_C=0.1,3,0.7392474428140456
butyrate_assembly_2021,3,0.8,l1_C=1,3,0.9054105620625581
butyrate_assembly_2021,4,0.2,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,4,0.2,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,4,0.2,l1_C=1,3,0.838015873015873
butyrate_assembly_2021,4,0.4,l1_C=0.01,3,0.6904761904761906
butyrate_assembly_2021,4,0.4,l1_C=0.1,3,0.6904761904761906
butyrate_assembly_2021,4,0.4,l1_C=1,3,0.8911373914151692
butyrate_assembly_2021,4,0.6,l1_C=0.01,3,0.7142857142857143
butyrate_assembly_2021,4,0.6,l1_C=0.1,3,0.7412081128747796
butyrate_assembly_2021,4,0.6,l1_C=1,3,0.9183519205062032
butyrate_assembly_2021,4,0.8,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,4,0.8,l1_C=0.1,3,0.7958717515013002
butyrate_assembly_2021,4,0.8,l1_C=1,3,0.9072243739450802
butyrate_assembly_2021,5,0.2,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,5,0.2,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,5,0.2,l1_C=1,3,0.7580158730158729
butyrate_assembly_2021,5,0.4,l1_C=0.01,3,0.7380952380952381
butyrate_assembly_2021,5,0.4,l1_C=0.1,3,0.7843614718614718
butyrate_assembly_2021,5,0.4,l1_C=1,3,0.9057053132053131
butyrate_assembly_2021,5,0.6,l1_C=0.01,3,0.7142857142857143
butyrate_assembly_2021,5,0.6,l1_C=0.1,3,0.808236331569665
butyrate_assembly_2021,5,0.6,l1_C=1,3,0.9170080888037543
butyrate_assembly_2021,5,0.8,l1_C=0.01,3,0.7261904761904763
butyrate_assembly_2021,5,0.8,l1_C=0.1,3,0.7695594083373805
butyrate_assembly_2021,5,0.8,l1_C=1,3,0.8844035937597289
carlstrom_phyllosphere_2019,1,0.2,l1_C=0.01,3,0.15151515151515152
carlstrom_phyllosphere_2019,1,0.2,l1_C=0.1,3,0.3213323201695265
carlstrom_phyllosphere_2019,1,0.2,l1_C=1,3,0.3465443179985505
carlstrom_phyllosphere_2019,1,0.4,l1_C=0.01,3,0.13383838383838384
carlstrom_phyllosphere_2019,1,0.4,l1_C=0.1,3,0.34891660455368445
carlstrom_phyllosphere_2019,1,0.4,l1_C=1,3,0.27999932374144043
carlstrom_phyllosphere_2019,1,0.6,l1_C=0.01,3,0.13131313131313133
carlstrom_phyllosphere_2019,1,0.6,l1_C=0.1,3,0.3092994505901879
carlstrom_phyllosphere_2019,1,0.6,l1_C=1,3,0.29710051781770824
carlstrom_phyllosphere_2019,1,0.8,l1_C=0.01,3,0.12389100126742712
