analysis_set,fold,budget_fraction,budget_pairs,test_pairs,test_outcomes,test_positives,method,auprc,auroc,model_fitted
butyrate_assembly_2021,1,0.0,0,21,21,16,OneNet,0.760734430258424,0.50625,False
butyrate_assembly_2021,1,0.2,21,21,21,16,Supervised combined,0.8893384393384394,0.6875,True
butyrate_assembly_2021,1,0.4,42,21,21,16,Supervised combined,0.8100922617007176,0.5625,True
butyrate_assembly_2021,1,0.6,63,21,21,16,Supervised combined,0.8374360117007176,0.6,True
butyrate_assembly_2021,1,0.8,83,21,21,16,Supervised combined,0.8245828150070604,0.5875,True
butyrate_assembly_2021,2,0.0,0,21,21,15,OneNet,0.7115148422269164,0.37222222222222223,False
butyrate_assembly_2021,2,0.2,21,21,21,15,Supervised combined,0.7597835497835498,0.5444444444444445,True
butyrate_assembly_2021,2,0.4,42,21,21,15,Supervised combined,0.9441161997044349,0.8777777777777779,True
butyrate_assembly_2021,2,0.6,63,21,21,15,Supervised combined,0.9313872619754973,0.8555555555555556,True
butyrate_assembly_2021,2,0.8,83,21,21,15,Supervised combined,0.9558085433085433,0.9111111111111112,True
butyrate_assembly_2021,3,0.0,0,21,21,15,OneNet,0.5919871282255184,0.22777777777777777,False
butyrate_assembly_2021,3,0.2,21,21,21,15,Supervised combined,0.7894740135452211,0.6666666666666667,True
butyrate_assembly_2021,3,0.4,42,21,21,15,Supervised combined,0.9397205953088306,0.8666666666666667,True
butyrate_assembly_2021,3,0.6,63,21,21,15,Supervised combined,0.7904406160288513,0.7222222222222223,True
butyrate_assembly_2021,3,0.8,83,21,21,15,Supervised combined,0.7904406160288513,0.7222222222222223,True
butyrate_assembly_2021,4,0.0,0,21,21,15,OneNet,0.7254093378241985,0.4388888888888889,False
butyrate_assembly_2021,4,0.2,21,21,21,15,Supervised combined,0.8925375659199188,0.7666666666666666,True
butyrate_assembly_2021,4,0.4,42,21,21,15,Supervised combined,0.8568810002633532,0.7444444444444445,True
butyrate_assembly_2021,4,0.6,63,21,21,15,Supervised combined,0.8706157567922274,0.7333333333333333,True
butyrate_assembly_2021,4,0.8,83,21,21,15,Supervised combined,0.8764336102493997,0.7555555555555555,True
butyrate_assembly_2021,5,0.0,0,20,20,15,OneNet,0.7945025133105628,0.4933333333333333,False
butyrate_assembly_2021,5,0.2,21,20,20,15,Supervised combined,0.872753276135629,0.6533333333333333,True
butyrate_assembly_2021,5,0.4,42,20,20,15,Supervised combined,0.9355697518855413,0.8133333333333335,True
butyrate_assembly_2021,5,0.6,63,20,20,15,Supervised combined,0.8906582744740639,0.72,True
butyrate_assembly_2021,5,0.8,84,20,20,15,Supervised combined,0.8880581893739788,0.7066666666666667,True
carlstrom_phyllosphere_2019,1,0.0,0,198,198,25,OneNet,0.1135552959772802,0.4167630057803468,False
carlstrom_phyllosphere_2019,1,0.2,198,198,198,25,Supervised combined,0.25191924982506086,0.6758381502890174,True
carlstrom_phyllosphere_2019,1,0.4,396,198,198,25,Supervised combined,0.2084976475699894,0.6591907514450868,True
carlstrom_phyllosphere_2019,1,0.6,594,198,198,25,Supervised combined,0.18572190994225246,0.6365317919075144,True
carlstrom_phyllosphere_2019,1,0.8,791,198,198,25,Supervised combined,0.19853389411271966,0.6369942196531793,True
carlstrom_phyllosphere_2019,2,0.0,0,198,198,25,OneNet,0.13798342535768357,0.46427745664739883,False
carlstrom_phyllosphere_2019,2,0.2,198,198,198,25,Supervised combined,0.20968173305407548,0.6941040462427746,True
carlstrom_phyllosphere_2019,2,0.4,396,198,198,25,Supervised combined,0.26836861718540844,0.7273988439306358,True
carlstrom_phyllosphere_2019,2,0.6,594,198,198,25,Supervised combined,0.2378363796199217,0.7257803468208093,True
carlstrom_phyllosphere_2019,2,0.8,791,198,198,25,Supervised combined,0.2564048634224435,0.741271676300578,True
carlstrom_phyllosphere_2019,3,0.0,0,198,198,25,OneNet,0.12423110759299852,0.453179190751445,False
carlstrom_phyllosphere_2019,3,0.2,198,198,198,25,Supervised combined,0.2943335968686074,0.6485549132947978,True
carlstrom_phyllosphere_2019,3,0.4,396,198,198,25,Supervised combined,0.30308929328419987,0.7292485549132948,True
carlstrom_phyllosphere_2019,3,0.6,594,198,198,25,Supervised combined,0.3297417825197507,0.7687861271676301,True
carlstrom_phyllosphere_2019,3,0.8,791,198,198,25,Supervised combined,0.3327262112409642,0.7572254335260116,True
carlstrom_phyllosphere_2019,4,0.0,0,198,198,24,OneNet,0.10145689206129634,0.40481321839080464,False
carlstrom_phyllosphere_2019,4,0.2,198,198,198,24,Supervised combined,0.2542360147070392,0.6932471264367817,True
carlstrom_phyllosphere_2019,4,0.4,396,198,198,24,Supervised combined,0.2750878924931628,0.7140804597701149,True
carlstrom_phyllosphere_2019,4,0.6,594,198,198,24,Supervised combined,0.2623972127856213,0.7193486590038315,True
carlstrom_phyllosphere_2019,4,0.8,791,198,198,24,Supervised combined,0.2625038276937485,0.7227011494252873,True
carlstrom_phyllosphere_2019,5,0.0,0,197,197,24,OneNet,0.14927105835229623,0.5989884393063584,False
carlstrom_phyllosphere_2019,5,0.2,198,197,197,24,Supervised combined,0.2532397623341601,0.6066955684007707,True
carlstrom_phyllosphere_2019,5,0.4,396,197,197,24,Supervised combined,0.24252780423830156,0.6302986512524085,True
carlstrom_phyllosphere_2019,5,0.6,594,197,197,24,Supervised combined,0.29048126389880585,0.6322254335260116,True
carlstrom_phyllosphere_2019,5,0.8,792,197,197,24,Supervised combined,0.3248626980999953,0.6529383429672446,True
friedman_microcosm_2017,1,0.0,0,6,12,8,OneNet,0.746875,0.5,False
friedman_microcosm_2017,1,0.2,6,6,12,8,Supervised combined,0.5854166666666667,0.3125,True
friedman_microcosm_2017,1,0.4,12,6,12,8,Supervised combined,0.5854166666666667,0.3125,True
friedman_microcosm_2017,1,0.6,17,6,12,8,Supervised combined,0.5854166666666667,0.3125,True
friedman_microcosm_2017,1,0.8,22,6,12,8,Supervised combined,0.5854166666666667,0.3125,True
friedman_microcosm_2017,2,0.0,0,6,12,6,OneNet,0.5333333333333333,0.5555555555555556,False
friedman_microcosm_2017,2,0.2,6,6,12,6,Supervised combined,0.4833333333333333,0.38888888888888884,True
friedman_microcosm_2017,2,0.4,12,6,12,6,Supervised combined,0.40972222222222227,0.2777777777777778,True
friedman_microcosm_2017,2,0.6,17,6,12,6,Supervised combined,0.40972222222222227,0.2777777777777778,True
friedman_microcosm_2017,2,0.8,22,6,12,6,Supervised combined,0.46249999999999997,0.33333333333333337,True
friedman_microcosm_2017,3,0.0,0,6,12,6,OneNet,0.5763888888888888,0.6111111111111112,False
friedman_microcosm_2017,3,0.2,6,6,12,6,Supervised combined,0.4347222222222222,0.2777777777777778,True
friedman_microcosm_2017,3,0.4,12,6,12,6,Supervised combined,0.39305555555555555,0.22222222222222224,True
friedman_microcosm_2017,3,0.6,17,6,12,6,Supervised combined,0.4347222222222222,0.2777777777777778,True
friedman_microcosm_2017,3,0.8,22,6,12,6,Supervised combined,0.39305555555555555,0.22222222222222224,True
friedman_microcosm_2017,4,0.0,0,5,10,8,OneNet,0.7520833333333333,0.375,False
friedman_microcosm_2017,4,0.2,6,5,10,8,Supervised combined,0.8708333333333333,0.625,True
friedman_microcosm_2017,4,0.4,12,5,10,8,Supervised combined,0.959375,0.875,True
friedman_microcosm_2017,4,0.6,17,5,10,8,Supervised combined,0.7520833333333333,0.375,True
friedman_microcosm_2017,4,0.8,23,5,10,8,Supervised combined,0.7520833333333333,0.375,True
friedman_microcosm_2017,5,0.0,0,5,10,5,OneNet,0.5,0.5,False
friedman_microcosm_2017,5,0.2,6,5,10,5,Supervised combined,0.5,0.5,True
friedman_microcosm_2017,5,0.4,12,5,10,5,Supervised combined,0.5,0.5,True
friedman_microcosm_2017,5,0.6,17,5,10,5,Supervised combined,0.5,0.5,True
friedman_microcosm_2017,5,0.8,23,5,10,5,Supervised combined,0.5,0.5,True
schafer_phyllosphere_2022,1,0.0,0,305,305,7,OneNet,0.23746031746031745,0.9458293384467881,False
schafer_phyllosphere_2022,1,0.2,305,305,305,7,Supervised combined,0.48714047022317697,0.9654841802492808,True
schafer_phyllosphere_2022,1,0.4,610,305,305,7,Supervised combined,0.5525981161695447,0.9784276126558006,True
schafer_phyllosphere_2022,1,0.6,915,305,305,7,Supervised combined,0.5895124716553288,0.9813039309683605,True
schafer_phyllosphere_2022,1,0.8,1219,305,305,7,Supervised combined,0.6077794754265342,0.9803451581975072,True
schafer_phyllosphere_2022,2,0.0,0,305,305,8,OneNet,0.27838110682655326,0.6999158249158248,False
schafer_phyllosphere_2022,2,0.2,305,305,305,8,Supervised combined,0.15771419893593877,0.765993265993266,True
schafer_phyllosphere_2022,2,0.4,610,305,305,8,Supervised combined,0.16874418686393478,0.9074074074074074,True
schafer_phyllosphere_2022,2,0.6,915,305,305,8,Supervised combined,0.2089879144977829,0.9234006734006734,True
schafer_phyllosphere_2022,2,0.8,1219,305,305,8,Supervised combined,0.36652985172722014,0.9351851851851851,True
schafer_phyllosphere_2022,3,0.0,0,305,305,8,OneNet,0.15885970531333768,0.8482744107744108,False
schafer_phyllosphere_2022,3,0.2,305,305,305,8,Supervised combined,0.46214369535265054,0.9280303030303031,True
schafer_phyllosphere_2022,3,0.4,610,305,305,8,Supervised combined,0.35712480613714415,0.936026936026936,True
schafer_phyllosphere_2022,3,0.6,915,305,305,8,Supervised combined,0.47706648947457775,0.9406565656565656,True
schafer_phyllosphere_2022,3,0.8,1219,305,305,8,Supervised combined,0.4677910525778213,0.9448653198653199,True
schafer_phyllosphere_2022,4,0.0,0,305,305,8,OneNet,0.107992247422791,0.8348063973063973,False
schafer_phyllosphere_2022,4,0.2,305,305,305,8,Supervised combined,0.09990438796393224,0.8514309764309764,True
schafer_phyllosphere_2022,4,0.4,610,305,305,8,Supervised combined,0.1124585517529066,0.8720538720538721,True
schafer_phyllosphere_2022,4,0.6,915,305,305,8,Supervised combined,0.12150160939806462,0.8914141414141414,True
schafer_phyllosphere_2022,4,0.8,1219,305,305,8,Supervised combined,0.12075660349433716,0.8779461279461279,True
schafer_phyllosphere_2022,5,0.0,0,304,304,7,OneNet,0.12430548072253467,0.8997113997113997,False
schafer_phyllosphere_2022,5,0.2,305,304,304,7,Supervised combined,0.12498653053366292,0.8802308802308803,True
schafer_phyllosphere_2022,5,0.4,610,304,304,7,Supervised combined,0.1759437127852858,0.8975468975468975,True
schafer_phyllosphere_2022,5,0.6,915,304,304,7,Supervised combined,0.1922493682100975,0.9004329004329005,True
schafer_phyllosphere_2022,5,0.8,1220,304,304,7,Supervised combined,0.18545519521129278,0.9052429052429052,True
