analysis_set,method,budget_fraction,folds,minimum_budget_pairs,maximum_budget_pairs,mean_test_pairs,mean_auprc,sd_auprc,mean_auroc,sd_auroc,model_fit_rate
butyrate_assembly_2021,OneNet,0.0,5,0,0,20.8,0.7168296503691239,0.07688988374981345,0.4076944444444444,0.11363163696679321,0.0
butyrate_assembly_2021,Supervised combined,0.2,5,21,21,20.8,0.8407773689445517,0.061749063164829504,0.6637222222222222,0.0798541301296647,1.0
butyrate_assembly_2021,Supervised combined,0.4,5,42,42,20.8,0.8972759617725755,0.06061088936879928,0.7729444444444444,0.12894209869090403,1.0
butyrate_assembly_2021,Supervised combined,0.6,5,63,63,20.8,0.8641075841942716,0.05341358789017955,0.7262222222222222,0.09050475739490778,1.0
butyrate_assembly_2021,Supervised combined,0.8,5,83,84,20.8,0.8670647547935667,0.06340333902383204,0.7366111111111111,0.11634751319714787,1.0
carlstrom_phyllosphere_2019,OneNet,0.0,5,0,0,197.8,0.12529955586831099,0.018993783957406737,0.4676042621752707,0.07747338390113874,0.0
carlstrom_phyllosphere_2019,Supervised combined,0.2,5,198,198,197.8,0.2526820713577886,0.029946562104274863,0.6636879609328284,0.036822722433323414,1.0
carlstrom_phyllosphere_2019,Supervised combined,0.4,5,396,396,197.8,0.25951425095421243,0.03574547390613131,0.6920434522623081,0.04475369673537707,1.0
carlstrom_phyllosphere_2019,Supervised combined,0.6,5,594,594,197.8,0.2612357097532704,0.05431297300150268,0.6965344716851594,0.05985834120002084,1.0
carlstrom_phyllosphere_2019,Supervised combined,0.8,5,791,792,197.8,0.2750062989139742,0.05515342850602397,0.7022261643744601,0.05397497700971908,1.0
friedman_microcosm_2017,OneNet,0.0,5,0,0,5.6,0.621736111111111,0.11973015731630714,0.5083333333333334,0.0876211683088195,0.0
friedman_microcosm_2017,Supervised combined,0.2,5,6,6,5.6,0.574861111111111,0.17416328855487,0.4208333333333333,0.14245423783286762,1.0
friedman_microcosm_2017,Supervised combined,0.4,5,12,12,5.6,0.5695138888888889,0.23116427339945136,0.4375,0.2658915238760646,1.0
friedman_microcosm_2017,Supervised combined,0.6,5,17,17,5.6,0.5363888888888889,0.1384128996410271,0.3486111111111111,0.09347954816924355,1.0
friedman_microcosm_2017,Supervised combined,0.8,5,22,23,5.6,0.5386111111111112,0.13805007115196186,0.3486111111111111,0.10139840138024434,1.0
schafer_phyllosphere_2022,OneNet,0.0,5,0,0,304.8,0.18139977154910683,0.0736624759109364,0.8457074742309642,0.09263023171825478,0.0
schafer_phyllosphere_2022,Supervised combined,0.2,5,305,305,304.8,0.2663778566018723,0.19142433788557184,0.8782339211869413,0.07650594376003612,1.0
schafer_phyllosphere_2022,Supervised combined,0.4,5,610,610,304.8,0.2733738747417632,0.1811864679876777,0.9182925451381827,0.04067437145040185,1.0
schafer_phyllosphere_2022,Supervised combined,0.6,5,915,915,304.8,0.3178635706471703,0.20330368353989756,0.9274416423745283,0.03577555983797877,1.0
schafer_phyllosphere_2022,Supervised combined,0.8,5,1219,1220,304.8,0.3496624356874411,0.20014069044847857,0.9287169392874091,0.03904096229182451,1.0
