analysis_set,design,taxon_fraction,repeat,reason
butyrate_assembly_2021,taxon_panel,0.2,1,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,2,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,3,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,6,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,8,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,12,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,18,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,19,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,21,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,23,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,27,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,30,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,32,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,38,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,39,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,41,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,44,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,45,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,59,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,60,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,63,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,66,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,68,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,71,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,72,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,74,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,76,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,82,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,83,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,86,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,88,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,91,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,92,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,94,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,95,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,101,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,103,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,104,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,105,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,107,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,110,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,117,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,120,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,123,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,127,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,130,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,135,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,136,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,137,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,139,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,141,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,142,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,143,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,145,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,150,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,151,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,155,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,156,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,165,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,167,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,170,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,171,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,177,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,186,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,191,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,192,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,193,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.2,194,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,0,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,1,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,6,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,10,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,12,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,40,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,43,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,70,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,88,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,159,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,163,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,166,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,176,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.4,182,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,11,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,12,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,19,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,25,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,27,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,28,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,34,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,35,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,48,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,51,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,57,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,59,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,60,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,63,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,75,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,77,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,111,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,112,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,118,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,124,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,125,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,126,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,128,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,133,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,149,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,160,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,161,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,168,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,169,empty calibration or test set
butyrate_assembly_2021,taxon_panel,0.6,170,test set lacks both classes
butyrate_assembly_2021,taxon_panel,0.6,171,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.2,17,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,25,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,29,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,47,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,48,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,100,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,108,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,109,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.2,165,empty calibration or test set
schafer_phyllosphere_2022,taxon_panel,0.6,6,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,19,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,41,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,48,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,80,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,115,test set lacks both classes
schafer_phyllosphere_2022,taxon_panel,0.6,166,test set lacks both classes
