analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_outcomes,calibration_positives,test_pairs,test_outcomes,test_positives,test_prevalence,model_fitted,supervised_auprc,mean_rank_auprc,supervised_minus_mean_rank,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
butyrate_assembly_2021,taxon_panel,0.2,0,5,3,3,3,67,67,46,0.6865671641791045,False,0.6865671641791045,0.7186312397058489,-0.032064075526744396,0.7410443709683694,0.6320261721951472,0.7704809060389964
butyrate_assembly_2021,distributed_pairs,0.2,0,5,3,3,2,101,101,74,0.7326732673267327,True,0.8234502292186489,0.7391080411542192,0.08434218806442961,0.7834098563700195,0.6789526756256616,0.8075287351139605
butyrate_assembly_2021,taxon_panel,0.2,4,5,5,5,5,54,54,34,0.6296296296296297,False,0.6296296296296297,0.6623026918365823,-0.03267306220695265,0.6253187442994281,0.6332511466571991,0.6759469375944901
butyrate_assembly_2021,distributed_pairs,0.2,4,5,5,5,3,99,99,73,0.7373737373737373,True,0.6969824798056341,0.7484315258245087,-0.05144904601887457,0.7961030499643356,0.6755009617749985,0.8260728087089064
butyrate_assembly_2021,taxon_panel,0.2,5,5,4,4,4,66,66,45,0.6818181818181818,False,0.6818181818181818,0.6588916080938729,0.02292657372430884,0.788793098076969,0.5940359216225513,0.7607621104228983
butyrate_assembly_2021,distributed_pairs,0.2,5,5,4,4,2,100,100,74,0.74,True,0.8315685015238309,0.7399340227918152,0.09163447873201569,0.7862593321402698,0.6817674475824005,0.8138191894911022
butyrate_assembly_2021,taxon_panel,0.2,7,5,4,4,4,65,65,45,0.6923076923076923,False,0.6923076923076923,0.6573835874005437,0.03492410490714859,0.749145990873337,0.6204416965551207,0.740378027290164
butyrate_assembly_2021,distributed_pairs,0.2,7,5,4,4,2,100,100,74,0.74,True,0.6964019430500183,0.7680623742752358,-0.07166043122521748,0.8289908306403998,0.699970465699767,0.8174240801395503
butyrate_assembly_2021,taxon_panel,0.2,9,5,6,6,6,50,50,28,0.56,False,0.56,0.5593716588028622,0.0006283411971378383,0.6431112930742909,0.4840281239374419,0.6615237518870616
butyrate_assembly_2021,distributed_pairs,0.2,9,5,6,6,6,98,98,70,0.7142857142857143,False,0.7142857142857143,0.7242722235000727,-0.009986509214358397,0.779754162416624,0.655965562331054,0.794533158358441
butyrate_assembly_2021,taxon_panel,0.2,10,5,6,6,5,52,52,31,0.5961538461538461,True,0.6518445977287032,0.6103989942564523,0.0414456034722509,0.7214214950305774,0.5514908506829628,0.6863477686942552
butyrate_assembly_2021,distributed_pairs,0.2,10,5,6,6,5,98,98,71,0.7244897959183674,True,0.7508578350476274,0.7490458570322559,0.0018119780153714737,0.8032775951523252,0.6915023543273693,0.8033413847763018
butyrate_assembly_2021,taxon_panel,0.2,11,5,7,7,5,51,51,34,0.6666666666666666,True,0.603628688999387,0.6612250172051389,-0.05759632820575189,0.7255005254599778,0.5863871790872083,0.7273634236886677
butyrate_assembly_2021,distributed_pairs,0.2,11,5,7,7,7,97,97,69,0.711340206185567,False,0.711340206185567,0.7255548117567364,-0.01421460557116938,0.7735325386196779,0.659137551692081,0.7971114876231881
butyrate_assembly_2021,taxon_panel,0.2,13,5,3,3,2,67,67,46,0.6865671641791045,True,0.7024990321488499,0.7155704673790856,-0.013071435230235684,0.7381349088374394,0.6859866397419573,0.7702345342348407
butyrate_assembly_2021,distributed_pairs,0.2,13,5,3,3,3,101,101,73,0.7227722772277227,False,0.7227722772277227,0.7374694374055375,-0.01469716017781475,0.7845254762728087,0.6706118010330795,0.8110420696598835
butyrate_assembly_2021,taxon_panel,0.2,14,5,3,3,3,69,69,48,0.6956521739130435,False,0.6956521739130435,0.7454236743210829,-0.04977150040803946,0.7236501286463528,0.694623260605968,0.7977313956688997
butyrate_assembly_2021,distributed_pairs,0.2,14,5,3,3,3,101,101,73,0.7227722772277227,False,0.7227722772277227,0.7353082378357301,-0.012535960608007324,0.7828365442240364,0.6680431670310909,0.8089366232192601
butyrate_assembly_2021,taxon_panel,0.2,15,5,4,4,2,67,67,50,0.746268656716418,True,0.7267964600968045,0.7614869366692903,-0.03469047657248581,0.7965795612825104,0.6735094050281368,0.8301633739877252
butyrate_assembly_2021,distributed_pairs,0.2,15,5,4,4,3,100,100,73,0.73,True,0.7532186583847644,0.7344029010951763,0.018815757289588175,0.7833795321900436,0.6732035096396849,0.8046556870763077
butyrate_assembly_2021,taxon_panel,0.2,16,5,3,3,3,66,66,46,0.696969696969697,False,0.696969696969697,0.6830565880275582,0.013913108942138819,0.7432312295909264,0.6276023979183768,0.7835376927559466
butyrate_assembly_2021,distributed_pairs,0.2,16,5,3,3,2,101,101,74,0.7326732673267327,True,0.7030255392960948,0.7495653765928414,-0.0465398372967466,0.7939945193266903,0.6865213363053194,0.8153955627127546
butyrate_assembly_2021,taxon_panel,0.2,17,5,7,7,2,50,50,45,0.9,True,0.9177205589263885,0.9183510291717655,-0.0006304702453769906,0.8804297796878711,0.894388483842099,0.9567289507523788
butyrate_assembly_2021,distributed_pairs,0.2,17,5,7,7,5,97,97,71,0.7319587628865979,True,0.8234519715593944,0.7523557477464683,0.07109622381292613,0.8094791952558499,0.6984610336956111,0.8083752885051168
butyrate_assembly_2021,taxon_panel,0.2,20,5,5,5,5,50,50,27,0.54,False,0.54,0.541700443808183,-0.0017004438081830164,0.6191877507530782,0.4714762635092724,0.643855865891539
butyrate_assembly_2021,distributed_pairs,0.2,20,5,5,5,4,99,99,72,0.7272727272727273,True,0.7273154204365483,0.7390881635107214,-0.011772743074173087,0.7840089600532569,0.6706866067738665,0.8139811084558536
butyrate_assembly_2021,taxon_panel,0.2,22,5,4,4,0,66,66,55,0.8333333333333334,False,0.8333333333333334,0.8551045977248191,-0.02177126439148569,0.8627386859537408,0.8257318071357471,0.9133776678637444
butyrate_assembly_2021,distributed_pairs,0.2,22,5,4,4,4,100,100,72,0.72,False,0.72,0.7340177771884483,-0.014017777188448322,0.7792109802552771,0.660916408471863,0.8079973323948617
butyrate_assembly_2021,taxon_panel,0.2,24,5,4,4,1,66,66,55,0.8333333333333334,True,0.820718105153684,0.8810601072126305,-0.060342002058946465,0.864955588249533,0.8366474120376551,0.9208006209329982
butyrate_assembly_2021,distributed_pairs,0.2,24,5,4,4,3,100,100,73,0.73,True,0.7714466346778897,0.7241308062470254,0.04731582843086424,0.7806738572196559,0.6712583169866001,0.8059477759525624
butyrate_assembly_2021,taxon_panel,0.2,25,5,7,7,4,50,50,42,0.84,True,0.8536228952229231,0.8217047728441601,0.031918122378763014,0.8154953956319714,0.8061426703414023,0.8838722800645857
butyrate_assembly_2021,distributed_pairs,0.2,25,5,7,7,7,97,97,69,0.711340206185567,False,0.711340206185567,0.7206746478052916,-0.00933444161972452,0.7661653621716922,0.6574513188078926,0.7943209301200893
butyrate_assembly_2021,taxon_panel,0.2,26,5,3,3,3,70,70,47,0.6714285714285714,False,0.6714285714285714,0.6741365773273592,-0.0027080058987878353,0.7220915133420083,0.6013009142672435,0.7615936981079968
butyrate_assembly_2021,distributed_pairs,0.2,26,5,3,3,1,101,101,75,0.7425742574257426,True,0.8328673712728645,0.7467869401700613,0.08608043110280317,0.7904307480870392,0.6829588743894726,0.8234474845815426
butyrate_assembly_2021,taxon_panel,0.2,28,5,6,6,2,51,51,42,0.8235294117647058,True,0.8737431574529725,0.8551012189579213,0.018641938495051136,0.8288992544290014,0.8668690592856678,0.897155061693054
butyrate_assembly_2021,distributed_pairs,0.2,28,5,6,6,5,98,98,71,0.7244897959183674,True,0.6527272583742588,0.7470241954271268,-0.09429693705286801,0.7971835975818038,0.673957134565273,0.8168768644070459
butyrate_assembly_2021,taxon_panel,0.2,29,5,4,4,4,66,66,44,0.6666666666666666,False,0.6666666666666666,0.694838624055604,-0.028171957388937408,0.7834116381179326,0.5902328897390452,0.7758515572315443
butyrate_assembly_2021,distributed_pairs,0.2,29,5,4,4,3,100,100,73,0.73,True,0.7800714210657946,0.7367819471711263,0.04328947389466831,0.7834195103015404,0.6745446093186757,0.8069266383424687
butyrate_assembly_2021,taxon_panel,0.2,31,5,4,4,3,65,65,45,0.6923076923076923,True,0.8161503908957943,0.7602452606622078,0.055905130233586564,0.8076592875667572,0.6509172533169294,0.8211979934752133
butyrate_assembly_2021,distributed_pairs,0.2,31,5,4,4,4,100,100,72,0.72,False,0.72,0.7295927934212029,-0.009592793421202894,0.7844517001358384,0.6572077586045681,0.807238572019799
butyrate_assembly_2021,taxon_panel,0.2,33,5,3,3,2,70,70,50,0.7142857142857143,True,0.7678563629141639,0.7723919032786828,-0.004535540364518864,0.7875149396481946,0.6920411438180393,0.8166008596832632
butyrate_assembly_2021,distributed_pairs,0.2,33,5,3,3,3,101,101,73,0.7227722772277227,False,0.7227722772277227,0.7371282138269362,-0.014355936599213415,0.7781154401599835,0.6732514017900857,0.8053792037072525
butyrate_assembly_2021,taxon_panel,0.2,34,5,5,5,4,52,52,42,0.8076923076923077,True,0.8366549056056745,0.7844502205059789,0.05220468509969556,0.8138649208886428,0.7860088186391477,0.8651580238643295
butyrate_assembly_2021,distributed_pairs,0.2,34,5,5,5,1,99,99,75,0.7575757575757576,True,0.7303315582741589,0.769673843535489,-0.0393422852613301,0.8066029769696286,0.715982274533173,0.8333643290243995
butyrate_assembly_2021,taxon_panel,0.2,35,5,7,7,4,48,48,42,0.875,True,0.874547102173292,0.8862051003487821,-0.01165799817549007,0.8613123233232898,0.8727312426315608,0.9249878520536632
butyrate_assembly_2021,distributed_pairs,0.2,35,5,7,7,6,97,97,70,0.7216494845360825,True,0.7370910218227233,0.7298500155736092,0.007241006249114168,0.7683708713534141,0.6675384397027531,0.8064017446061285
butyrate_assembly_2021,taxon_panel,0.2,36,5,4,4,4,70,70,47,0.6714285714285714,False,0.6714285714285714,0.6974846493538133,-0.026056077925241894,0.710162598453787,0.6445994960971431,0.7828099779968898
butyrate_assembly_2021,distributed_pairs,0.2,36,5,4,4,3,100,100,73,0.73,True,0.7004612813149207,0.7434319772305931,-0.042970695915672374,0.7912546244902463,0.6747866335378827,0.8131135367694837
butyrate_assembly_2021,taxon_panel,0.2,37,5,4,4,3,52,52,31,0.5961538461538461,True,0.5449699796210763,0.5765514522098323,-0.03158147258875599,0.6630032367294824,0.5173478791343196,0.6720571437889872
butyrate_assembly_2021,distributed_pairs,0.2,37,5,4,4,2,100,100,74,0.74,True,0.6728163207465,0.7719260702828556,-0.09910974953635565,0.8205972076216642,0.7092025298771575,0.8235510732210994
butyrate_assembly_2021,taxon_panel,0.2,40,5,4,4,1,65,65,54,0.8307692307692308,True,0.8180691875611624,0.8386791712517393,-0.020609983690576872,0.853892930085565,0.8189339122756157,0.9073329700695293
butyrate_assembly_2021,distributed_pairs,0.2,40,5,4,4,3,100,100,73,0.73,True,0.6572322587826657,0.7506010140606667,-0.09336875527800104,0.7930279755716905,0.6790459319334381,0.8199236718556286
butyrate_assembly_2021,taxon_panel,0.2,42,5,4,4,3,66,66,48,0.7272727272727273,True,0.7150846264142748,0.697824479757239,0.01726014665703579,0.763529854104027,0.6579224865948728,0.7844169544947523
butyrate_assembly_2021,distributed_pairs,0.2,42,5,4,4,3,100,100,73,0.73,True,0.6794362378129759,0.7468489048337139,-0.067412667020738,0.7967771137788919,0.6719825514021535,0.8166366068561903
butyrate_assembly_2021,taxon_panel,0.2,43,5,5,5,4,53,53,35,0.660377358490566,True,0.642854945946456,0.6951063196789091,-0.052251373732453144,0.7326009342311227,0.6140438698737009,0.7483956132321289
butyrate_assembly_2021,distributed_pairs,0.2,43,5,5,5,4,99,99,72,0.7272727272727273,True,0.6915111159916324,0.745195370128893,-0.053684254137260634,0.7879736607771153,0.6751380446606372,0.8090244053871147
butyrate_assembly_2021,taxon_panel,0.2,46,5,6,6,6,53,53,31,0.5849056603773585,False,0.5849056603773585,0.5851916503333103,-0.0002859899559518597,0.6689427872960685,0.5519623730593143,0.6593430491443909
butyrate_assembly_2021,distributed_pairs,0.2,46,5,6,6,5,98,98,71,0.7244897959183674,True,0.809719181232055,0.7387645345156681,0.07095464671638685,0.7843065144180091,0.6816359237710967,0.8080295556714971
butyrate_assembly_2021,taxon_panel,0.2,47,5,4,4,3,66,66,49,0.7424242424242424,True,0.6976124393140534,0.7728597523848738,-0.07524731307082044,0.8325576717294433,0.6787524312596179,0.8293916731251464
butyrate_assembly_2021,distributed_pairs,0.2,47,5,4,4,3,100,100,73,0.73,True,0.6883497229066724,0.7418593220831942,-0.05350959917652176,0.7865192324259906,0.674400222845529,0.8157299359446941
butyrate_assembly_2021,taxon_panel,0.2,48,5,4,4,4,66,66,49,0.7424242424242424,False,0.7424242424242424,0.7260135690602081,0.016410673364034345,0.7779291205796366,0.6825140177780519,0.778689266305872
butyrate_assembly_2021,distributed_pairs,0.2,48,5,4,4,4,100,100,72,0.72,False,0.72,0.7363034145745623,-0.016303414574562303,0.7755342437983552,0.6711864022821958,0.8084579216474345
butyrate_assembly_2021,taxon_panel,0.2,49,5,3,3,3,68,68,51,0.75,False,0.75,0.7417979010547525,0.008202098945247482,0.7722494651107162,0.6856254390497316,0.8060927158425931
butyrate_assembly_2021,distributed_pairs,0.2,49,5,3,3,2,101,101,74,0.7326732673267327,True,0.6792463430170216,0.7628968251038049,-0.08365048208678327,0.7977833765222502,0.6826963147731187,0.831499477481744
butyrate_assembly_2021,taxon_panel,0.2,50,5,4,4,3,68,68,47,0.6911764705882353,True,0.7537660028736322,0.7080341838739684,0.04573181899966372,0.7331076791238338,0.6504364696039042,0.7759862299609108
butyrate_assembly_2021,distributed_pairs,0.2,50,5,4,4,3,100,100,73,0.73,True,0.8321650468363215,0.7403295619192409,0.0918354849170806,0.7857022945405054,0.6850660088495711,0.8110867114038798
butyrate_assembly_2021,taxon_panel,0.2,51,5,7,7,3,51,51,36,0.7058823529411765,True,0.8444175499840824,0.7872328346875804,0.05718471529650193,0.8094005304657966,0.675165345268756,0.8461087014749664
butyrate_assembly_2021,distributed_pairs,0.2,51,5,7,7,4,97,97,72,0.7422680412371134,True,0.7905234462396407,0.7410381517388108,0.049485294500829835,0.7880885314838593,0.688338469581072,0.8162906549775024
butyrate_assembly_2021,taxon_panel,0.2,52,5,4,4,3,67,67,50,0.746268656716418,True,0.7266281134458975,0.7417716563771078,-0.015143542931210341,0.7870239645290816,0.6795369165106826,0.8049724250295014
butyrate_assembly_2021,distributed_pairs,0.2,52,5,4,4,3,100,100,73,0.73,True,0.7863219648493851,0.7438437238798652,0.04247824096951991,0.792454560172547,0.6779519092342752,0.8138549817389142
butyrate_assembly_2021,taxon_panel,0.2,53,5,2,2,2,71,71,52,0.7323943661971831,False,0.7323943661971831,0.7741772365468483,-0.04178287034966521,0.7613125892626454,0.6942635705409728,0.8284218920907633
butyrate_assembly_2021,distributed_pairs,0.2,53,5,2,2,2,102,102,74,0.7254901960784313,False,0.7254901960784313,0.7363705390720712,-0.010880342993639824,0.7774965858400877,0.6738411418071604,0.8093283777396755
butyrate_assembly_2021,taxon_panel,0.2,54,5,6,6,4,50,50,28,0.56,True,0.5833163242263248,0.5511224630657413,0.03219386116058354,0.6424291735836738,0.4876028308975758,0.6413879279124676
butyrate_assembly_2021,distributed_pairs,0.2,54,5,6,6,5,98,98,71,0.7244897959183674,True,0.7340254530055561,0.737085892916191,-0.003060439910634871,0.7887009462485951,0.6688082295562544,0.8063727631272952
butyrate_assembly_2021,taxon_panel,0.2,55,5,7,7,7,49,49,32,0.6530612244897959,False,0.6530612244897959,0.6434862917422286,0.009574932747567266,0.7833984313908788,0.5714684580519088,0.724320275502008
