analysis_set,design,taxon_fraction,valid_repeats,mean_selected_taxa,mean_calibration_pairs,calibration_positive_rate,model_fit_rate,mean_test_prevalence,mean_rank_auprc,supervised_auprc,auprc_change,supervised_win_rate
butyrate_assembly_2021,distributed_pairs,0.2,132,5.0,4.6893939393939394,0.9924242424242424,0.7348484848484849,0.7298647833278573,0.7419495497061889,0.7412932529222468,-0.0006562967839420979,0.38636363636363635
butyrate_assembly_2021,distributed_pairs,0.4,186,10.0,14.951612903225806,1.0,0.9838709677419355,0.7301484855278236,0.743490185995892,0.7593502744222019,0.01586008842630975,0.6129032258064516
butyrate_assembly_2021,distributed_pairs,0.6,185,16.0,37.22702702702703,1.0,1.0,0.7319775581471721,0.7498633768389464,0.7814149100112437,0.03155153317229729,0.7513513513513513
butyrate_assembly_2021,taxon_panel,0.2,132,5.0,4.6893939393939394,0.9696969696969697,0.6060606060606061,0.7146315601621399,0.7292428333811447,0.7184963993058233,-0.010746434075321505,0.3484848484848485
butyrate_assembly_2021,taxon_panel,0.4,186,10.0,14.951612903225806,1.0,0.9193548387096774,0.736506410027866,0.7735627537537437,0.7600753100152904,-0.013487443738453349,0.4032258064516129
butyrate_assembly_2021,taxon_panel,0.6,169,16.0,36.19526627218935,1.0,1.0,0.6860024934339112,0.7476819949204314,0.7330488661213665,-0.014633128799064919,0.4260355029585799
carlstrom_phyllosphere_2019,distributed_pairs,0.2,200,11.0,36.4,0.99,0.99,0.12418171221446955,0.12577440242470714,0.13420333616568972,0.008428933740982598,0.725
carlstrom_phyllosphere_2019,distributed_pairs,0.4,200,22.0,151.795,1.0,1.0,0.1240674185974936,0.12641527960359564,0.15400857683441627,0.027593297230820647,0.93
carlstrom_phyllosphere_2019,distributed_pairs,0.6,200,33.0,352.145,1.0,1.0,0.12415764185293009,0.12782689472074002,0.16488191426554674,0.03705501954480672,0.925
carlstrom_phyllosphere_2019,taxon_panel,0.2,200,11.0,36.4,0.9,0.9,0.12314839263253452,0.1282729118587889,0.13727795334191734,0.009005041483128431,0.605
carlstrom_phyllosphere_2019,taxon_panel,0.4,200,22.0,151.795,1.0,1.0,0.12552819284187441,0.1364945158627409,0.15462572958818815,0.01813121372544725,0.675
carlstrom_phyllosphere_2019,taxon_panel,0.6,200,33.0,352.145,1.0,1.0,0.12192913118409004,0.14121886941541897,0.1714743387107824,0.030255469295363432,0.7
friedman_microcosm_2017,distributed_pairs,0.2,200,4.0,6.0,1.0,1.0,0.5920454545454545,0.6234286680287784,0.5949118463229882,-0.028516821705790195,0.275
friedman_microcosm_2017,distributed_pairs,0.4,200,4.0,6.0,1.0,1.0,0.5905681818181818,0.6247076123340396,0.5933454352946396,-0.031362177039399974,0.22
friedman_microcosm_2017,distributed_pairs,0.6,200,5.0,10.0,1.0,1.0,0.58625,0.6245830751219483,0.5815456515675322,-0.04303742355441601,0.235
friedman_microcosm_2017,taxon_panel,0.2,200,4.0,6.0,1.0,1.0,0.5854166666666667,0.6413493882275132,0.6366881448412698,-0.0046612433862434025,0.39
friedman_microcosm_2017,taxon_panel,0.4,200,4.0,6.0,1.0,1.0,0.585,0.6541549437830687,0.6268663029100529,-0.027288640873015888,0.285
friedman_microcosm_2017,taxon_panel,0.6,200,5.0,10.0,1.0,1.0,0.5783333333333334,0.6451666666666667,0.6268333333333334,-0.01833333333333333,0.215
schafer_phyllosphere_2022,distributed_pairs,0.2,191,25.0,62.717277486910994,0.7382198952879581,0.7382198952879581,0.02493966400502046,0.2286004040781249,0.1104469305845626,-0.11815347349356228,0.05759162303664921
schafer_phyllosphere_2022,distributed_pairs,0.4,200,51.0,244.47,0.99,0.99,0.02487322013405077,0.22934857486929475,0.18752332943771433,-0.041825245431580414,0.2
schafer_phyllosphere_2022,distributed_pairs,0.6,200,76.0,542.39,1.0,1.0,0.02501585536226727,0.23045105875577032,0.221049948495819,-0.009401110259951303,0.46
schafer_phyllosphere_2022,taxon_panel,0.2,191,25.0,62.717277486910994,0.6910994764397905,0.6910994764397905,0.024980305036394288,0.23598184362444885,0.10231858579631352,-0.13366325782813532,0.06806282722513089
schafer_phyllosphere_2022,taxon_panel,0.4,200,51.0,244.47,0.985,0.985,0.023624238909540064,0.2481865927537662,0.1908956534513103,-0.057290939302455934,0.185
schafer_phyllosphere_2022,taxon_panel,0.6,193,76.0,539.1813471502591,0.9948186528497409,0.9948186528497409,0.026606959440062444,0.2961654274244632,0.2594199156858,-0.03674551173866325,0.24352331606217617
