dataset,method,score,tested_pairs,positive_pairs,random_auprc,average_precision
butyrate_assembly_2021,consensus,current_four_method_mean_rank,104,76,0.7307692307692307,0.8159848817185346
butyrate_assembly_2021,pln,path_entry,104,76,0.7307692307692307,0.8411589941648498
butyrate_assembly_2021,spieceasi,path_max_abs,104,76,0.7307692307692307,0.7817129807896415
butyrate_assembly_2021,spring,selected_graph_weight,104,76,0.7307692307692307,0.7307692307692307
carlstrom_phyllosphere_2019,consensus,current_four_method_mean_rank,989,123,0.1243680485338726,0.12397614129927592
carlstrom_phyllosphere_2019,pln,path_terminal_abs,989,123,0.1243680485338726,0.1257094731908404
carlstrom_phyllosphere_2019,spieceasi,selected_graph_weight,989,123,0.1243680485338726,0.13420731022274832
carlstrom_phyllosphere_2019,spring,path_mean_abs,989,123,0.1243680485338726,0.1465309076998963
friedman_microcosm_2017,consensus,path_integrated_four_method_mean_rank,56,33,0.5892857142857143,0.6311310971316345
friedman_microcosm_2017,pln,path_mean_abs,56,33,0.5892857142857143,0.6448125160288385
friedman_microcosm_2017,spieceasi,path_entry,56,33,0.5892857142857143,0.6085319587038179
friedman_microcosm_2017,spring,path_max_abs,56,33,0.5892857142857143,0.6291832067451057
schafer_phyllosphere_2022,consensus,path_integrated_four_method_mean_rank,1524,38,0.024934383202099737,0.17614370916391675
schafer_phyllosphere_2022,pln,path_mean_abs,1524,38,0.024934383202099737,0.1296743162951067
schafer_phyllosphere_2022,spieceasi,path_terminal_abs,1524,38,0.024934383202099737,0.27794272159894656
schafer_phyllosphere_2022,spring,path_entry,1524,38,0.024934383202099737,0.026518131514791484
