dataset,method,score,tested_pairs,positive_pairs,random_auprc,average_precision
butyrate_assembly_2021,pln,selected_graph_weight,104,76,0.7307692307692307,0.7879621170132769
butyrate_assembly_2021,pln,path_mean_abs,104,76,0.7307692307692307,0.8074118973500503
butyrate_assembly_2021,spieceasi,selected_graph_weight,104,76,0.7307692307692307,0.7343117408906882
butyrate_assembly_2021,spieceasi,path_mean_abs,104,76,0.7307692307692307,0.7517166143114533
butyrate_assembly_2021,spring,selected_graph_weight,104,76,0.7307692307692307,0.7307692307692307
butyrate_assembly_2021,spring,path_mean_abs,104,76,0.7307692307692307,0.6508676567435803
butyrate_assembly_2021,consensus,current_four_method_mean_rank,104,76,0.7307692307692307,0.8159848817185346
butyrate_assembly_2021,consensus,path_integrated_four_method_mean_rank,104,76,0.7307692307692307,0.7400549757297288
carlstrom_phyllosphere_2019,pln,selected_graph_weight,989,123,0.1243680485338726,0.1243680485338726
carlstrom_phyllosphere_2019,pln,path_mean_abs,989,123,0.1243680485338726,0.11844890019821863
carlstrom_phyllosphere_2019,spieceasi,selected_graph_weight,989,123,0.1243680485338726,0.13420731022274832
carlstrom_phyllosphere_2019,spieceasi,path_mean_abs,989,123,0.1243680485338726,0.12625599949582547
carlstrom_phyllosphere_2019,spring,selected_graph_weight,989,123,0.1243680485338726,0.13347910279400574
carlstrom_phyllosphere_2019,spring,path_mean_abs,989,123,0.1243680485338726,0.1465309076998963
carlstrom_phyllosphere_2019,consensus,current_four_method_mean_rank,989,123,0.1243680485338726,0.12397614129927592
carlstrom_phyllosphere_2019,consensus,path_integrated_four_method_mean_rank,989,123,0.1243680485338726,0.1201145341721327
schafer_phyllosphere_2022,pln,selected_graph_weight,1524,38,0.024934383202099737,0.07748781040398287
schafer_phyllosphere_2022,pln,path_mean_abs,1524,38,0.024934383202099737,0.1296743162951067
schafer_phyllosphere_2022,spieceasi,selected_graph_weight,1524,38,0.024934383202099737,0.024934383202099737
schafer_phyllosphere_2022,spieceasi,path_mean_abs,1524,38,0.024934383202099737,0.20997537186662812
schafer_phyllosphere_2022,spring,selected_graph_weight,1524,38,0.024934383202099737,0.024934383202099737
schafer_phyllosphere_2022,spring,path_mean_abs,1524,38,0.024934383202099737,0.0243357646625808
schafer_phyllosphere_2022,consensus,current_four_method_mean_rank,1524,38,0.024934383202099737,0.13492504449331744
schafer_phyllosphere_2022,consensus,path_integrated_four_method_mean_rank,1524,38,0.024934383202099737,0.17614370916391675
friedman_microcosm_2017,pln,selected_graph_weight,56,33,0.5892857142857143,0.6135299806464815
friedman_microcosm_2017,pln,path_mean_abs,56,33,0.5892857142857143,0.6448125160288385
friedman_microcosm_2017,spieceasi,selected_graph_weight,56,33,0.5892857142857143,0.5865800865800866
friedman_microcosm_2017,spieceasi,path_mean_abs,56,33,0.5892857142857143,0.5813504459659781
friedman_microcosm_2017,spring,selected_graph_weight,56,33,0.5892857142857143,0.5976359499086771
friedman_microcosm_2017,spring,path_mean_abs,56,33,0.5892857142857143,0.6006225710698456
friedman_microcosm_2017,consensus,current_four_method_mean_rank,56,33,0.5892857142857143,0.6255452146019721
friedman_microcosm_2017,consensus,path_integrated_four_method_mean_rank,56,33,0.5892857142857143,0.6311310971316345
