analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
schafer_phyllosphere_2022,1,1,10,10,1,9,305,7,lambda=0.01,0.2198794822807172,0.10437071054101638,0.11550877173970081,0.87392138063279,0.7849952061361457
schafer_phyllosphere_2022,1,1,20,20,1,19,305,7,lambda=0.01,0.2198794822807172,0.10437071054101638,0.11550877173970081,0.87392138063279,0.7849952061361457
schafer_phyllosphere_2022,1,1,50,50,1,49,305,7,lambda=0.01,0.2198794822807172,0.10437071054101638,0.11550877173970081,0.87392138063279,0.7849952061361457
schafer_phyllosphere_2022,1,1,100,100,4,96,305,7,lambda=0.1,0.25071754918373823,0.10437071054101638,0.14634683864272185,0.887823585810163,0.7849952061361457
schafer_phyllosphere_2022,1,1,200,200,7,193,305,7,lambda=10,0.23092248650341451,0.10437071054101638,0.12655177596239814,0.8672099712368169,0.7849952061361457
schafer_phyllosphere_2022,1,1,500,500,13,487,305,7,lambda=0.01,0.3072019526542932,0.10437071054101638,0.2028312421132768,0.9367209971236817,0.7849952061361457
schafer_phyllosphere_2022,1,1,1000,1000,29,971,305,7,lambda=0.01,0.3262712529016877,0.10437071054101638,0.2219005423606713,0.9395973154362416,0.7849952061361457
schafer_phyllosphere_2022,1,1,maximum,1219,31,1188,305,7,lambda=0.01,0.3347121600173191,0.10437071054101638,0.23034144947630275,0.9400767018216682,0.7849952061361457
schafer_phyllosphere_2022,1,2,10,10,0,10,305,8,lambda=0.01,0.34884793336107023,0.25335038225663226,0.09549755110443797,0.9031986531986532,0.9303451178451179
schafer_phyllosphere_2022,1,2,20,20,0,20,305,8,lambda=0.01,0.34884793336107023,0.25335038225663226,0.09549755110443797,0.9031986531986532,0.9303451178451179
schafer_phyllosphere_2022,1,2,50,50,1,49,305,8,lambda=0.01,0.34884793336107023,0.25335038225663226,0.09549755110443797,0.9031986531986532,0.9303451178451179
schafer_phyllosphere_2022,1,2,100,100,4,96,305,8,lambda=10,0.3197098944394885,0.25335038225663226,0.06635951218285624,0.9044612794612794,0.9303451178451179
schafer_phyllosphere_2022,1,2,200,200,7,193,305,8,lambda=10,0.4187485453614486,0.25335038225663226,0.16539816310481636,0.9141414141414143,0.9303451178451179
schafer_phyllosphere_2022,1,2,500,500,14,486,305,8,lambda=10,0.36543952433972293,0.25335038225663226,0.11208914208309068,0.9149831649831651,0.9303451178451179
schafer_phyllosphere_2022,1,2,1000,1000,25,975,305,8,lambda=0.01,0.3359819525931256,0.25335038225663226,0.08263157033649332,0.9276094276094276,0.9303451178451179
schafer_phyllosphere_2022,1,2,maximum,1219,30,1189,305,8,lambda=0.01,0.3881181771127423,0.25335038225663226,0.13476779485611007,0.9339225589225589,0.9303451178451179
schafer_phyllosphere_2022,1,3,10,10,0,10,305,8,lambda=0.01,0.22781097446025628,0.13839048115024782,0.08942049331000845,0.9158249158249158,0.8472222222222222
schafer_phyllosphere_2022,1,3,20,20,0,20,305,8,lambda=0.01,0.22781097446025628,0.13839048115024782,0.08942049331000845,0.9158249158249158,0.8472222222222222
schafer_phyllosphere_2022,1,3,50,50,0,50,305,8,lambda=0.01,0.22781097446025628,0.13839048115024782,0.08942049331000845,0.9158249158249158,0.8472222222222222
schafer_phyllosphere_2022,1,3,100,100,1,99,305,8,lambda=0.01,0.22781097446025628,0.13839048115024782,0.08942049331000845,0.9158249158249158,0.8472222222222222
schafer_phyllosphere_2022,1,3,200,200,4,196,305,8,lambda=10,0.17448643435084385,0.13839048115024782,0.036095953200596026,0.9196127946127945,0.8472222222222222
schafer_phyllosphere_2022,1,3,500,500,14,486,305,8,lambda=1,0.12114219980756927,0.13839048115024782,-0.017248281342678556,0.8905723905723906,0.8472222222222222
schafer_phyllosphere_2022,1,3,1000,1000,24,976,305,8,lambda=0.01,0.2605154808959157,0.13839048115024782,0.12212499974566787,0.9385521885521885,0.8472222222222222
schafer_phyllosphere_2022,1,3,maximum,1219,30,1189,305,8,lambda=0.01,0.2802857681534152,0.13839048115024782,0.1418952870031674,0.9381313131313131,0.8472222222222222
schafer_phyllosphere_2022,1,4,10,10,1,9,305,8,lambda=0.01,0.18546787643111848,0.1604765128204078,0.024991363610710665,0.9124579124579124,0.8775252525252525
schafer_phyllosphere_2022,1,4,20,20,1,19,305,8,lambda=0.01,0.18546787643111848,0.1604765128204078,0.024991363610710665,0.9124579124579124,0.8775252525252525
schafer_phyllosphere_2022,1,4,50,50,1,49,305,8,lambda=0.01,0.18546787643111848,0.1604765128204078,0.024991363610710665,0.9124579124579124,0.8775252525252525
schafer_phyllosphere_2022,1,4,100,100,3,97,305,8,lambda=10,0.17828207671957672,0.1604765128204078,0.017805563899168902,0.8956228956228955,0.8775252525252525
schafer_phyllosphere_2022,1,4,200,200,5,195,305,8,lambda=1,0.16821104351025817,0.1604765128204078,0.007734530689850361,0.896885521885522,0.8775252525252525
schafer_phyllosphere_2022,1,4,500,500,11,489,305,8,lambda=0.1,0.35728233742793214,0.1604765128204078,0.19680582460752433,0.9250841750841751,0.8775252525252525
schafer_phyllosphere_2022,1,4,1000,1000,25,975,305,8,lambda=0.01,0.27327183662557375,0.1604765128204078,0.11279532380516594,0.9339225589225588,0.8775252525252525
schafer_phyllosphere_2022,1,4,maximum,1219,30,1189,305,8,lambda=0.01,0.29324505457284655,0.1604765128204078,0.13276854175243874,0.9402356902356902,0.8775252525252525
schafer_phyllosphere_2022,1,5,10,10,0,10,304,7,lambda=0.01,0.34406781580556745,0.12873676319992283,0.2153310526056446,0.9167869167869168,0.7525252525252525
schafer_phyllosphere_2022,1,5,20,20,1,19,304,7,lambda=0.01,0.34406781580556745,0.12873676319992283,0.2153310526056446,0.9167869167869168,0.7525252525252525
schafer_phyllosphere_2022,1,5,50,50,1,49,304,7,lambda=0.01,0.34406781580556745,0.12873676319992283,0.2153310526056446,0.9167869167869168,0.7525252525252525
schafer_phyllosphere_2022,1,5,100,100,3,97,304,7,lambda=10,0.3441896337861498,0.12873676319992283,0.21545287058622697,0.9129389129389129,0.7525252525252525
schafer_phyllosphere_2022,1,5,200,200,6,194,304,7,lambda=0.1,0.36245066852651986,0.12873676319992283,0.23371390532659703,0.7806637806637806,0.7525252525252525
schafer_phyllosphere_2022,1,5,500,500,13,487,304,7,lambda=0.01,0.38909027025444326,0.12873676319992283,0.2603535070545204,0.9052429052429052,0.7525252525252525
schafer_phyllosphere_2022,1,5,1000,1000,28,972,304,7,lambda=0.01,0.4789223199161087,0.12873676319992283,0.35018555671618584,0.9066859066859067,0.7525252525252525
schafer_phyllosphere_2022,1,5,maximum,1220,31,1189,304,7,lambda=0.01,0.44860853432282005,0.12873676319992283,0.3198717711228972,0.9264069264069263,0.7525252525252525
schafer_phyllosphere_2022,2,1,10,10,0,10,305,7,lambda=0.01,0.13899987306741313,0.1548338534075778,-0.01583398034016467,0.9132310642377756,0.8883029721955897
schafer_phyllosphere_2022,2,1,20,20,1,19,305,7,lambda=0.01,0.13899987306741313,0.1548338534075778,-0.01583398034016467,0.9132310642377756,0.8883029721955897
