method,subset,fits,mean_auprc,sd_auprc
current_tuned_l1_14_features,all fits,100,0.026874845954200532,0.018546416493660983
current_tuned_l1_14_features,at least one training positive,22,0.03358232591151625,0.039394266544873616
fixed_l2_mean_of_three_scores,all fits,100,0.07670867543488302,0.11077939763647085
fixed_l2_mean_of_three_scores,at least one training positive,22,0.2600997326418913,0.11257562466218927
fixed_l2_three_scores,all fits,100,0.06129688922672512,0.08156990691511966
fixed_l2_three_scores,at least one training positive,22,0.1900461589684462,0.09536361435212358
fixed_l2_three_scores_plus_joint_prevalence,all fits,100,0.04656777421303986,0.06142665919659689
fixed_l2_three_scores_plus_joint_prevalence,at least one training positive,22,0.12309563617896781,0.09956393875148371
fixed_unsupervised_mean_score,all fits,100,0.25748687819656835,0.1127886010562037
fixed_unsupervised_mean_score,at least one training positive,22,0.2600997326418913,0.11257562466218927
adaptive_mean_score_calibration,all fits,100,0.25748687819656835,0.1127886010562037
adaptive_mean_score_calibration,at least one training positive,22,0.2600997326418913,0.11257562466218927
OneNet,all fits,100,0.18306350296209975,0.07673695812562459
OneNet,at least one training positive,22,0.17925106591934126,0.09928447104469695
