repeat,fold,training_positives,training_neutrals,single_class_training,inner_tuning_available,selected_setting,nonzero_coefficients,coefficient_l1_norm,intercept,prediction_min,prediction_max,prediction_sd,unique_predictions,test_pairs,test_positives,positive_frequency,supervised_auprc,onenet_auprc,mean_three_scores_auprc,three_scores_auprc,three_scores_plus_joint_prevalence_auprc,fixed_mean_score_auprc,adaptive_simple_auprc
1,1,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.10437071054101638,0.2198794822807172,0.21861481130913904,0.04659985555156748,0.2198794822807172,0.2198794822807172
1,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.25335038225663226,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.34884793336107023,0.34884793336107023
1,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.13839048115024782,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.22781097446025628,0.22781097446025628
1,4,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1604765128204078,0.18546787643111848,0.2522032244071718,0.058628811348472934,0.18546787643111848,0.18546787643111848
1,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.12873676319992283,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.34406781580556745,0.34406781580556745
2,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.1548338534075778,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.13899987306741313,0.13899987306741313
2,2,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.15286006938967467,0.21786893559924714,0.2193344168684812,0.06141249846191707,0.21786893559924714,0.21786893559924714
2,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21847783808719268,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.12732702755004272,0.12732702755004272
2,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2173079291981731,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.5317753593387322,0.5317753593387322
2,5,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.13345705086686754,0.2555504019789734,0.1024072854948431,0.07698964661539873,0.2555504019789734,0.2555504019789734
3,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.14257300501109235,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.14405116792042766,0.14405116792042766
3,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1216970055057698,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.24141963077909348,0.24141963077909348
3,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.18129250651309475,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.24993879342202513,0.24993879342202513
3,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.3772978355798553,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.5194565427797135,0.5194565427797135
3,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.09867897323946079,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.08151201090049069,0.08151201090049069
4,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.16856161080299012,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.2567930945963291,0.2567930945963291
4,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.22254391200689164,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2038687723529064,0.2038687723529064
4,3,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.06999140165626327,0.10696636226297243,0.22269569924321742,0.12690650144607624,0.10696636226297243,0.10696636226297243
4,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2360221058670402,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.3146674781952915,0.3146674781952915
4,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.1325614403586956,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.34929971988795516,0.34929971988795516
5,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.16772953503820348,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.13117308747533954,0.13117308747533954
5,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.23608806770571475,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2398856475014942,0.2398856475014942
5,3,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1775880919559588,0.45193726650062266,0.1789291395235134,0.05953222246484505,0.45193726650062266,0.45193726650062266
5,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.11060339621388719,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.13531038248495084,0.13531038248495084
