analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,1,0.2,logistic,l2_C=0.01,3,0.9828042328042329
butyrate_assembly_2021,1,0.2,logistic,l2_C=0.1,3,0.9716931216931216
butyrate_assembly_2021,1,0.2,logistic,l2_C=1,3,0.9578042328042328
butyrate_assembly_2021,1,0.2,logistic,l1_C=0.01,3,0.8095238095238094
butyrate_assembly_2021,1,0.2,logistic,l1_C=0.1,3,0.8095238095238094
butyrate_assembly_2021,1,0.2,logistic,l1_C=1,3,0.9716931216931216
butyrate_assembly_2021,1,0.2,ranking,C=0.01,3,0.9828042328042329
butyrate_assembly_2021,1,0.2,ranking,C=0.1,3,0.9828042328042329
butyrate_assembly_2021,1,0.2,ranking,C=1,3,0.9828042328042329
butyrate_assembly_2021,1,0.2,boosting,depth=1_l2=1,3,0.9748677248677248
butyrate_assembly_2021,1,0.2,boosting,depth=2_l2=1,3,0.9748677248677248
butyrate_assembly_2021,1,0.4,logistic,l2_C=0.01,3,0.9312521148884786
butyrate_assembly_2021,1,0.4,logistic,l2_C=0.1,3,0.9207181118544755
butyrate_assembly_2021,1,0.4,logistic,l2_C=1,3,0.9450351836715473
butyrate_assembly_2021,1,0.4,logistic,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,1,0.4,logistic,l1_C=0.1,3,0.7619047619047619
butyrate_assembly_2021,1,0.4,logistic,l1_C=1,3,0.9442027164754437
butyrate_assembly_2021,1,0.4,ranking,C=0.01,3,0.9207181118544755
butyrate_assembly_2021,1,0.4,ranking,C=0.1,3,0.9466820553184191
butyrate_assembly_2021,1,0.4,ranking,C=1,3,0.9398638735002373
butyrate_assembly_2021,1,0.4,boosting,depth=1_l2=1,3,0.946780660417024
butyrate_assembly_2021,1,0.4,boosting,depth=2_l2=1,3,0.9345132981496618
butyrate_assembly_2021,1,0.6,logistic,l2_C=0.01,3,0.9107446858004778
butyrate_assembly_2021,1,0.6,logistic,l2_C=0.1,3,0.9246763605105
butyrate_assembly_2021,1,0.6,logistic,l2_C=1,3,0.9113347306634522
butyrate_assembly_2021,1,0.6,logistic,l1_C=0.01,3,0.7301587301587302
butyrate_assembly_2021,1,0.6,logistic,l1_C=0.1,3,0.8029730481936364
butyrate_assembly_2021,1,0.6,logistic,l1_C=1,3,0.919370059550013
butyrate_assembly_2021,1,0.6,ranking,C=0.01,3,0.914916380495102
butyrate_assembly_2021,1,0.6,ranking,C=0.1,3,0.9025183926804475
butyrate_assembly_2021,1,0.6,ranking,C=1,3,0.905740412032498
butyrate_assembly_2021,1,0.6,boosting,depth=1_l2=1,3,0.8895290976366828
butyrate_assembly_2021,1,0.6,boosting,depth=2_l2=1,3,0.8682506610415537
butyrate_assembly_2021,1,0.8,logistic,l2_C=0.01,3,0.8862648029298376
butyrate_assembly_2021,1,0.8,logistic,l2_C=0.1,3,0.8930863555193321
butyrate_assembly_2021,1,0.8,logistic,l2_C=1,3,0.888120548344126
butyrate_assembly_2021,1,0.8,logistic,l1_C=0.01,3,0.7231040564373897
butyrate_assembly_2021,1,0.8,logistic,l1_C=0.1,3,0.7947861679947875
