analysis_set,fold,budget_fraction,budget_pairs,test_pairs,test_positives,selected_family,selected_setting,optimized_auprc,current_auprc,onenet_auprc,optimized_auroc,current_auroc
butyrate_assembly_2021,1,0.2,21,21,16,logistic,l2_C=0.01,0.8893384393384394,0.8893384393384394,0.760734430258424,0.6875,0.6875
butyrate_assembly_2021,1,0.4,42,21,16,boosting,depth=1_l2=1,0.8369791666666667,0.8100922617007176,0.760734430258424,0.65625,0.5625
butyrate_assembly_2021,1,0.6,63,21,16,logistic,l2_C=0.1,0.8130853065063592,0.8374360117007176,0.760734430258424,0.575,0.6
butyrate_assembly_2021,1,0.8,83,21,16,boosting,depth=1_l2=1,0.8597240945973531,0.8245828150070604,0.760734430258424,0.6875,0.5875
butyrate_assembly_2021,2,0.2,21,21,15,logistic,l2_C=1,0.9034866168689697,0.7597835497835498,0.7115148422269164,0.7777777777777778,0.5444444444444445
butyrate_assembly_2021,2,0.4,42,21,15,boosting,depth=1_l2=1,0.9565632028789923,0.9441161997044349,0.7115148422269164,0.9222222222222222,0.8777777777777779
butyrate_assembly_2021,2,0.6,63,21,15,ranking,C=1,0.9453347578347577,0.9313872619754973,0.7115148422269164,0.8444444444444444,0.8555555555555556
butyrate_assembly_2021,2,0.8,83,21,15,boosting,depth=1_l2=1,0.9815204678362573,0.9558085433085433,0.7115148422269164,0.9555555555555556,0.9111111111111112
butyrate_assembly_2021,3,0.2,21,21,15,logistic,l2_C=0.01,0.7894740135452211,0.7894740135452211,0.5919871282255184,0.6666666666666667,0.6666666666666667
butyrate_assembly_2021,3,0.4,42,21,15,boosting,depth=1_l2=1,0.9344005847953215,0.9397205953088306,0.5919871282255184,0.8111111111111112,0.8666666666666667
butyrate_assembly_2021,3,0.6,63,21,15,logistic,l1_C=1,0.8733895733895733,0.7904406160288513,0.5919871282255184,0.7555555555555555,0.7222222222222223
butyrate_assembly_2021,3,0.8,83,21,15,logistic,l1_C=1,0.9156715019872914,0.7904406160288513,0.5919871282255184,0.8222222222222223,0.7222222222222223
butyrate_assembly_2021,4,0.2,21,21,15,logistic,l2_C=1,0.8255021938845468,0.8925375659199188,0.7254093378241985,0.6444444444444444,0.7666666666666666
butyrate_assembly_2021,4,0.4,42,21,15,logistic,l1_C=1,0.8824076957900487,0.8568810002633532,0.7254093378241985,0.7777777777777778,0.7444444444444445
butyrate_assembly_2021,4,0.6,63,21,15,logistic,l1_C=1,0.8661164869988399,0.8706157567922274,0.7254093378241985,0.7555555555555555,0.7333333333333333
butyrate_assembly_2021,4,0.8,83,21,15,logistic,l1_C=1,0.8877956849938274,0.8764336102493997,0.7254093378241985,0.7888888888888889,0.7555555555555555
butyrate_assembly_2021,5,0.2,21,20,15,ranking,C=0.1,0.8979310613134142,0.872753276135629,0.7945025133105628,0.7066666666666667,0.6533333333333333
butyrate_assembly_2021,5,0.4,42,20,15,boosting,depth=1_l2=1,0.96510989010989,0.9355697518855413,0.7945025133105628,0.8933333333333333,0.8133333333333335
butyrate_assembly_2021,5,0.6,63,20,15,ranking,C=0.1,0.9117841692764292,0.8906582744740639,0.7945025133105628,0.72,0.72
butyrate_assembly_2021,5,0.8,84,20,15,boosting,depth=1_l2=1,0.9442195059842118,0.8880581893739788,0.7945025133105628,0.84,0.7066666666666667
carlstrom_phyllosphere_2019,1,0.2,198,198,25,logistic,l2_C=0.1,0.2610745156119047,0.25191924982506086,0.1135552959772802,0.6864739884393064,0.6758381502890174
carlstrom_phyllosphere_2019,1,0.4,396,198,25,logistic,l1_C=0.1,0.22197241710899895,0.2084976475699894,0.1135552959772802,0.6538728323699422,0.6591907514450868
carlstrom_phyllosphere_2019,1,0.6,594,198,25,logistic,l2_C=0.01,0.18572190994225246,0.18572190994225246,0.1135552959772802,0.6365317919075144,0.6365317919075144
carlstrom_phyllosphere_2019,1,0.8,791,198,25,logistic,l1_C=0.1,0.22130939771292332,0.19853389411271966,0.1135552959772802,0.6457803468208093,0.6369942196531793
carlstrom_phyllosphere_2019,2,0.2,198,198,25,logistic,l1_C=0.1,0.23177784577993107,0.20968173305407548,0.13798342535768357,0.7301734104046242,0.6941040462427746
carlstrom_phyllosphere_2019,2,0.4,396,198,25,logistic,l1_C=0.1,0.30164952948254614,0.26836861718540844,0.13798342535768357,0.7463583815028902,0.7273988439306358
carlstrom_phyllosphere_2019,2,0.6,594,198,25,logistic,l1_C=0.1,0.2502882744801022,0.2378363796199217,0.13798342535768357,0.7322543352601156,0.7257803468208093
carlstrom_phyllosphere_2019,2,0.8,791,198,25,logistic,l1_C=0.1,0.30609875001003434,0.2564048634224435,0.13798342535768357,0.7551445086705202,0.741271676300578
carlstrom_phyllosphere_2019,3,0.2,198,198,25,logistic,l1_C=0.1,0.36251126809617584,0.2943335968686074,0.12423110759299852,0.728092485549133,0.6485549132947978
carlstrom_phyllosphere_2019,3,0.4,396,198,25,ranking,C=0.1,0.2744647170191321,0.30308929328419987,0.12423110759299852,0.707514450867052,0.7292485549132948
carlstrom_phyllosphere_2019,3,0.6,594,198,25,logistic,l1_C=0.1,0.238118036306259,0.3297417825197507,0.12423110759299852,0.7264739884393063,0.7687861271676301
carlstrom_phyllosphere_2019,3,0.8,791,198,25,logistic,l1_C=0.1,0.26681508117122676,0.3327262112409642,0.12423110759299852,0.7354913294797687,0.7572254335260116
carlstrom_phyllosphere_2019,4,0.2,198,198,24,logistic,l2_C=1,0.24123138526601023,0.2542360147070392,0.10145689206129634,0.7198275862068966,0.6932471264367817
carlstrom_phyllosphere_2019,4,0.4,396,198,24,boosting,depth=2_l2=1,0.2661547203822952,0.2750878924931628,0.10145689206129634,0.7383860153256705,0.7140804597701149
carlstrom_phyllosphere_2019,4,0.6,594,198,24,logistic,l2_C=0.01,0.2623972127856213,0.2623972127856213,0.10145689206129634,0.7193486590038315,0.7193486590038315
carlstrom_phyllosphere_2019,4,0.8,791,198,24,logistic,l1_C=0.1,0.3092447096756475,0.2625038276937485,0.10145689206129634,0.7346743295019157,0.7227011494252873
carlstrom_phyllosphere_2019,5,0.2,198,197,24,logistic,l2_C=0.1,0.23907472592421525,0.2532397623341601,0.14927105835229623,0.6168111753371868,0.6066955684007707
carlstrom_phyllosphere_2019,5,0.4,396,197,24,logistic,l1_C=1,0.21569181052075542,0.24252780423830156,0.14927105835229623,0.63752408477842,0.6302986512524085
carlstrom_phyllosphere_2019,5,0.6,594,197,24,ranking,C=1,0.21802484621674778,0.29048126389880585,0.14927105835229623,0.6392100192678227,0.6322254335260116
carlstrom_phyllosphere_2019,5,0.8,792,197,24,logistic,l1_C=0.1,0.29600441839440694,0.3248626980999953,0.14927105835229623,0.664980732177264,0.6529383429672446
friedman_microcosm_2017,1,0.2,6,6,8,logistic,l2_C=0.01,0.5854166666666667,0.5854166666666667,0.746875,0.3125,0.3125
friedman_microcosm_2017,1,0.4,12,6,8,logistic,l2_C=0.01,0.5854166666666667,0.5854166666666667,0.746875,0.3125,0.3125
friedman_microcosm_2017,1,0.6,17,6,8,logistic,l1_C=0.01,0.6666666666666666,0.5854166666666667,0.746875,0.5,0.3125
friedman_microcosm_2017,1,0.8,22,6,8,boosting,depth=2_l2=1,0.6020833333333333,0.5854166666666667,0.746875,0.375,0.3125
friedman_microcosm_2017,2,0.2,6,6,6,logistic,l2_C=0.01,0.4833333333333333,0.4833333333333333,0.5333333333333333,0.38888888888888884,0.38888888888888884
friedman_microcosm_2017,2,0.4,12,6,6,logistic,l2_C=0.01,0.40972222222222227,0.40972222222222227,0.5333333333333333,0.2777777777777778,0.2777777777777778
friedman_microcosm_2017,2,0.6,17,6,6,logistic,l2_C=0.01,0.40972222222222227,0.40972222222222227,0.5333333333333333,0.2777777777777778,0.2777777777777778
friedman_microcosm_2017,2,0.8,22,6,6,logistic,l2_C=0.01,0.46249999999999997,0.46249999999999997,0.5333333333333333,0.33333333333333337,0.33333333333333337
friedman_microcosm_2017,3,0.2,6,6,6,logistic,l2_C=0.01,0.4347222222222222,0.4347222222222222,0.5763888888888888,0.2777777777777778,0.2777777777777778
friedman_microcosm_2017,3,0.4,12,6,6,logistic,l2_C=0.01,0.39305555555555555,0.39305555555555555,0.5763888888888888,0.22222222222222224,0.22222222222222224
friedman_microcosm_2017,3,0.6,17,6,6,logistic,l2_C=0.01,0.4347222222222222,0.4347222222222222,0.5763888888888888,0.2777777777777778,0.2777777777777778
friedman_microcosm_2017,3,0.8,22,6,6,logistic,l2_C=0.01,0.39305555555555555,0.39305555555555555,0.5763888888888888,0.22222222222222224,0.22222222222222224
friedman_microcosm_2017,4,0.2,6,5,8,boosting,depth=1_l2=1,0.8208333333333334,0.8708333333333333,0.7520833333333333,0.5625,0.625
friedman_microcosm_2017,4,0.4,12,5,8,logistic,l1_C=0.01,0.8,0.959375,0.7520833333333333,0.5,0.875
friedman_microcosm_2017,4,0.6,17,5,8,logistic,l1_C=0.01,0.8,0.7520833333333333,0.7520833333333333,0.5,0.375
friedman_microcosm_2017,4,0.8,23,5,8,logistic,l1_C=0.01,0.8,0.7520833333333333,0.7520833333333333,0.5,0.375
friedman_microcosm_2017,5,0.2,6,5,5,logistic,l2_C=0.01,0.5,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.4,12,5,5,logistic,l2_C=0.01,0.5,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.6,17,5,5,logistic,l2_C=0.01,0.5,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.8,23,5,5,logistic,l2_C=1,0.5,0.5,0.5,0.5,0.5
schafer_phyllosphere_2022,1,0.2,305,305,7,logistic,l1_C=0.1,0.5284353741496599,0.48714047022317697,0.23746031746031745,0.9745925215723873,0.9654841802492808
schafer_phyllosphere_2022,1,0.4,610,305,7,logistic,l2_C=0.01,0.5525981161695447,0.5525981161695447,0.23746031746031745,0.9784276126558006,0.9784276126558006
schafer_phyllosphere_2022,1,0.6,915,305,7,ranking,C=1,0.8465608465608465,0.5895124716553288,0.23746031746031745,0.9889741131351869,0.9813039309683605
schafer_phyllosphere_2022,1,0.8,1219,305,7,boosting,depth=1_l2=1,0.5145604395604395,0.6077794754265342,0.23746031746031745,0.9669223394055609,0.9803451581975072
schafer_phyllosphere_2022,2,0.2,305,305,8,logistic,l2_C=0.1,0.16375033981721412,0.15771419893593877,0.27838110682655326,0.7344276094276093,0.765993265993266
schafer_phyllosphere_2022,2,0.4,610,305,8,logistic,l1_C=0.1,0.29461506403908366,0.16874418686393478,0.27838110682655326,0.9250841750841751,0.9074074074074074
schafer_phyllosphere_2022,2,0.6,915,305,8,boosting,depth=2_l2=1,0.37397700796420263,0.2089879144977829,0.27838110682655326,0.8564814814814815,0.9234006734006734
schafer_phyllosphere_2022,2,0.8,1219,305,8,ranking,C=1,0.6077854437229437,0.36652985172722014,0.27838110682655326,0.9654882154882154,0.9351851851851851
schafer_phyllosphere_2022,3,0.2,305,305,8,logistic,l1_C=0.1,0.41382745726495723,0.46214369535265054,0.15885970531333768,0.9368686868686869,0.9280303030303031
schafer_phyllosphere_2022,3,0.4,610,305,8,ranking,C=0.01,0.3981396477086132,0.35712480613714415,0.15885970531333768,0.938131313131313,0.936026936026936
schafer_phyllosphere_2022,3,0.6,915,305,8,ranking,C=1,0.5359307359307359,0.47706648947457775,0.15885970531333768,0.9604377104377104,0.9406565656565656
schafer_phyllosphere_2022,3,0.8,1219,305,8,boosting,depth=2_l2=1,0.6113304612385495,0.4677910525778213,0.15885970531333768,0.9111952861952862,0.9448653198653199
schafer_phyllosphere_2022,4,0.2,305,305,8,logistic,l1_C=1,0.16616853561399272,0.09990438796393224,0.107992247422791,0.882996632996633,0.8514309764309764
schafer_phyllosphere_2022,4,0.4,610,305,8,boosting,depth=2_l2=1,0.23483341896535112,0.1124585517529066,0.107992247422791,0.9074074074074074,0.8720538720538721
schafer_phyllosphere_2022,4,0.6,915,305,8,logistic,l1_C=1,0.21356729314046388,0.12150160939806462,0.107992247422791,0.904040404040404,0.8914141414141414
schafer_phyllosphere_2022,4,0.8,1219,305,8,ranking,C=1,0.24821820175438597,0.12075660349433716,0.107992247422791,0.9082491582491583,0.8779461279461279
schafer_phyllosphere_2022,5,0.2,305,304,7,boosting,depth=1_l2=1,0.3434312103666942,0.12498653053366292,0.12430548072253467,0.9627224627224626,0.8802308802308803
schafer_phyllosphere_2022,5,0.4,610,304,7,ranking,C=1,0.20243860554521806,0.1759437127852858,0.12430548072253467,0.9153439153439153,0.8975468975468975
schafer_phyllosphere_2022,5,0.6,915,304,7,boosting,depth=2_l2=1,0.41140456182472984,0.1922493682100975,0.12430548072253467,0.9692159692159692,0.9004329004329005
schafer_phyllosphere_2022,5,0.8,1220,304,7,ranking,C=1,0.30715373296654086,0.18545519521129278,0.12430548072253467,0.9316979316979317,0.9052429052429052
