analysis_set,budget_fraction,budget_pairs,folds,current_auprc,optimized_auprc,onenet_auprc,optimized_sd,current_sd,optimized_auroc,current_auroc,absolute_improvement
butyrate_assembly_2021,0.2,21,5,0.8407773689445517,0.8611464649901182,0.7168296503691239,0.05086265025590256,0.061749063164829504,0.6966111111111111,0.6637222222222222,0.02036909604556647
butyrate_assembly_2021,0.4,42,5,0.8972759617725755,0.9150921080481839,0.7168296503691239,0.054231793993618424,0.06061088936879928,0.812138888888889,0.7729444444444444,0.017816146275608347
butyrate_assembly_2021,0.6,63,5,0.8641075841942716,0.8819420588011919,0.7168296503691239,0.04993503758523622,0.05341358789017955,0.7301111111111112,0.7262222222222222,0.017834474606920336
butyrate_assembly_2021,0.8,84,5,0.8670647547935667,0.9177862510797882,0.7168296503691239,0.047528642900029776,0.06340333902383204,0.8188333333333333,0.7366111111111111,0.05072149628622147
carlstrom_phyllosphere_2019,0.2,198,5,0.2526820713577886,0.26713394813564745,0.12529955586831099,0.0544101704037874,0.029946562104274863,0.6962757291874293,0.6636879609328284,0.014451876777858863
carlstrom_phyllosphere_2019,0.4,396,5,0.25951425095421243,0.25598663890274553,0.12529955586831099,0.03643682651700443,0.03574547390613131,0.696731152968795,0.6920434522623081,-0.0035276120514668996
carlstrom_phyllosphere_2019,0.6,594,5,0.2612357097532704,0.23091005594619657,0.12529955586831099,0.0301119102237596,0.05431297300150268,0.690763758775718,0.6965344716851594,-0.030325653807073805
carlstrom_phyllosphere_2019,0.8,792,5,0.2750062989139742,0.2798944713928478,0.12529955586831099,0.03677945215792686,0.05515342850602397,0.7072142493300555,0.7022261643744601,0.004888172478873576
friedman_microcosm_2017,0.2,6,5,0.574861111111111,0.5648611111111111,0.621736111111111,0.15308019311684767,0.17416328855487,0.4083333333333333,0.4208333333333333,-0.009999999999999898
friedman_microcosm_2017,0.4,12,5,0.5695138888888889,0.5376388888888889,0.621736111111111,0.16568024061314504,0.23116427339945136,0.3625,0.4375,-0.03187499999999999
friedman_microcosm_2017,0.6,17,5,0.5363888888888889,0.5622222222222222,0.621736111111111,0.166456464667581,0.1384128996410271,0.4111111111111111,0.3486111111111111,0.025833333333333264
friedman_microcosm_2017,0.8,23,5,0.5386111111111112,0.5515277777777777,0.621736111111111,0.1581050376556635,0.13805007115196186,0.3861111111111111,0.3486111111111111,0.012916666666666576
schafer_phyllosphere_2022,0.2,305,5,0.2663778566018723,0.32312258344250366,0.18139977154910683,0.1587665280046198,0.19142433788557184,0.8983215827175558,0.8782339211869413,0.056744726840631365
schafer_phyllosphere_2022,0.4,610,5,0.2733738747417632,0.3365249704855621,0.18139977154910683,0.14191611774823867,0.1811864679876777,0.9328788847245223,0.9182925451381827,0.0631510957437989
schafer_phyllosphere_2022,0.6,915,5,0.3178635706471703,0.47628808908419573,0.18139977154910683,0.23683264465815487,0.20330368353989756,0.9358299356621504,0.9274416423745283,0.15842451843702543
schafer_phyllosphere_2022,0.8,1220,5,0.3496624356874411,0.4578096558485719,0.18139977154910683,0.17022618101865888,0.20014069044847857,0.9367105862072306,0.9287169392874091,0.10814722016113082
