fold,held_out_studies,method,n_test,n_positive,n_neutral,average_precision,auroc,selected_edges,selected_density,precision,recall,f1
fold1,omm12,pln,66,66,0,NA,NA,50,0.757576,1.000000,0.757576,0.862069
fold1,omm12,glmnet,66,66,0,NA,NA,11,0.166667,1.000000,0.166667,0.285714
fold1,omm12,spieceasi,66,66,0,NA,NA,4,0.060606,1.000000,0.060606,0.114286
fold1,omm12,spring,66,66,0,NA,NA,9,0.136364,1.000000,0.136364,0.240000
fold1,omm12,sparcc,66,66,0,NA,NA,60,0.909091,1.000000,0.909091,0.952381
fold2,omm12_keystone_2023,pln,27,25,2,0.968527,0.710000,25,0.925926,0.960000,0.960000,0.960000
fold2,omm12_keystone_2023,glmnet,27,25,2,0.932390,0.460000,2,0.074074,1.000000,0.080000,0.148148
fold2,omm12_keystone_2023,spieceasi,27,25,2,0.928889,0.520000,1,0.037037,1.000000,0.040000,0.076923
fold2,omm12_keystone_2023,spring,27,25,2,0.925926,0.500000,0,0.000000,NA,0.000000,NA
fold2,omm12_keystone_2023,sparcc,27,25,2,0.970863,0.680000,4,0.148148,1.000000,0.160000,0.275862
fold3,pairinterax,pln,1687,1441,246,0.846273,0.480273,96,0.056906,0.770833,0.051353,0.096291
fold3,pairinterax,glmnet,1687,1441,246,0.848479,0.482250,28,0.016598,0.750000,0.014573,0.028591
fold3,pairinterax,spieceasi,1687,1441,246,0.853588,0.495798,77,0.045643,0.831169,0.044414,0.084321
fold3,pairinterax,spring,1687,1441,246,0.852819,0.505131,140,0.082988,0.871429,0.084663,0.154333
fold3,pairinterax,sparcc,1687,1441,246,0.827723,0.457815,93,0.055127,0.752688,0.048577,0.091265
fold4,butyrate_assembly_2021,pln,104,76,28,0.787962,0.573308,69,0.663462,0.768116,0.697368,0.731034
fold4,butyrate_assembly_2021,glmnet,104,76,28,0.678067,0.422227,39,0.375000,0.743590,0.381579,0.504348
fold4,butyrate_assembly_2021,spieceasi,104,76,28,0.734312,0.506579,1,0.009615,1.000000,0.013158,0.025974
fold4,butyrate_assembly_2021,spring,104,76,28,0.730769,0.500000,0,0.000000,NA,0.000000,NA
fold4,butyrate_assembly_2021,sparcc,104,76,28,0.813539,0.592105,0,0.000000,NA,0.000000,NA
fold5,host_fitness_2018,pln,10,9,1,0.977778,0.888889,7,0.700000,1.000000,0.777778,0.875000
fold5,host_fitness_2018,glmnet,10,9,1,0.976543,0.777778,10,1.000000,0.900000,1.000000,0.947368
fold5,host_fitness_2018,spieceasi,10,9,1,0.911111,0.555556,1,0.100000,1.000000,0.111111,0.200000
fold5,host_fitness_2018,spring,10,9,1,0.911111,0.555556,1,0.100000,1.000000,0.111111,0.200000
fold5,host_fitness_2018,sparcc,10,9,1,1.000000,1.000000,0,0.000000,NA,0.000000,NA
fold6,omm12;omm12_keystone_2023,pln,93,91,2,0.991271,0.717033,75,0.806452,0.986667,0.813187,0.891566
fold6,omm12;omm12_keystone_2023,glmnet,93,91,2,0.982852,0.483516,13,0.139785,1.000000,0.142857,0.250000
fold6,omm12;omm12_keystone_2023,spieceasi,93,91,2,0.968333,0.186813,5,0.053763,1.000000,0.054945,0.104167
fold6,omm12;omm12_keystone_2023,spring,93,91,2,0.971267,0.236264,9,0.096774,1.000000,0.098901,0.180000
fold6,omm12;omm12_keystone_2023,sparcc,93,91,2,0.992093,0.703297,64,0.688172,1.000000,0.703297,0.825806
