"analysis_set","system","method","mean_auprc","sd_auprc","successful_refits","lower_auprc","upper_auprc"
"butyrate_assembly_2021","Butyrate","OneNet",0.735200964018465,0.0573780573011206,5,0.677822906717344,0.792579021319585
"carlstrom_phyllosphere_2019","Carlström","OneNet",0.122406097543073,0.00442046648559596,5,0.117985631057477,0.126826564028669
"schafer_phyllosphere_2022","Schäfer","OneNet",0.11302513224877,NA,1,NA,NA
"butyrate_assembly_2021","Butyrate","SPIEC-EASI",0.733603238866397,0.00158425868851178,5,0.732018980177885,0.735187497554908
"carlstrom_phyllosphere_2019","Carlström","SPIEC-EASI",0.135455593596907,0.00305114604448651,5,0.13240444755242,0.138506739641393
"schafer_phyllosphere_2022","Schäfer","SPIEC-EASI",0.0299350739052355,0.00684747775303462,5,0.0230875961522009,0.0367825516582701
"butyrate_assembly_2021","Butyrate","SparCC",0.758344366066964,0.0420795905122286,5,0.716264775554735,0.800423956579192
"carlstrom_phyllosphere_2019","Carlström","SparCC",0.139416940195125,0.0121479207927394,5,0.127269019402385,0.151564860987864
"schafer_phyllosphere_2022","Schäfer","SparCC",0.0956095702475885,0.00720724987530018,5,0.0884023203722883,0.102816820122889
"butyrate_assembly_2021","Butyrate","PLNNetwork",0.757863605257904,0.0394274758019323,5,0.718436129455972,0.797291081059836
"carlstrom_phyllosphere_2019","Carlström","PLNNetwork",0.124368048533873,0,5,0.124368048533873,0.124368048533873
"schafer_phyllosphere_2022","Schäfer","PLNNetwork",0.0927737567857516,0.0140895640018814,5,0.0786841927838702,0.106863320787633
