analysis_set,label_budget,best_fixed_method,best_fixed_auprc,supervised_auprc,difference,ci_low,ci_high,win_rate
butyrate_assembly_2021,0.2,sparcc,0.8131441942548728,0.7638311659206477,-0.04931302833422535,-0.17751904365084012,0.02477497269385572,0.28
butyrate_assembly_2021,0.4,sparcc,0.8169803033393152,0.784648335161787,-0.03233196817752824,-0.17525580695642373,0.03260624408020172,0.34
butyrate_assembly_2021,0.6,sparcc,0.8195407185172219,0.8047055681262489,-0.0148351503909731,-0.1400678708564938,0.05145997756490527,0.465
carlstrom_phyllosphere_2019,0.2,poisson_glmnet,0.14318866976114986,0.15513812264932023,0.011949452888170363,-0.04600858190932723,0.048281709255442236,0.625
carlstrom_phyllosphere_2019,0.4,poisson_glmnet,0.1450946428147389,0.16923489804880001,0.02414025523406111,-0.024277715075206856,0.061450669866073705,0.835
carlstrom_phyllosphere_2019,0.6,poisson_glmnet,0.14717012549231623,0.180734672173382,0.033564546681065774,-0.022066218534328146,0.09087395896721308,0.855
friedman_microcosm_2017,0.2,sparcc,0.6785743459669905,0.5848942523342938,-0.09368009363269653,-0.19581018027760966,-0.0026423373453171458,0.02
friedman_microcosm_2017,0.4,sparcc,0.6826288314851493,0.5817987625010841,-0.10083006898406509,-0.24442917269860548,-0.00300162721856307,0.025
friedman_microcosm_2017,0.6,sparcc,0.6741510860155233,0.5589879659279875,-0.1151631200875358,-0.29229979482323226,0.013820571789321789,0.065
schafer_phyllosphere_2022,0.2,mean_rank,0.22788104280764748,0.2153076304658762,-0.012573412341771291,-0.1770121504997641,0.049011292876116976,0.505
schafer_phyllosphere_2022,0.4,mean_rank,0.2317984760493436,0.23681817843240624,0.005019702383062655,-0.06335443392597055,0.054659900334454586,0.655
schafer_phyllosphere_2022,0.6,mean_rank,0.2333171860161383,0.2424045598613435,0.009087373845205207,-0.0709688914572494,0.07434945082610678,0.63
