analysis_set,label_budget,repeats,median_calibration_pairs,mean_selected_unsupervised_auprc,mean_supervised_auprc,mean_auprc_difference,difference_ci_low,difference_ci_high,supervised_win_rate
butyrate_assembly_2021,0.2,200,20,0.7791143422843336,0.7638311659206477,-0.015283176363685978,-0.14548824689624462,0.05854139811017564,0.495
butyrate_assembly_2021,0.4,200,41,0.7968907422630923,0.784648335161787,-0.012242407101305246,-0.1528763204480719,0.057476100548866114,0.52
butyrate_assembly_2021,0.6,200,62,0.8022065275898603,0.8047055681262489,0.002499040536388539,-0.09424489798159612,0.07558915949800828,0.595
carlstrom_phyllosphere_2019,0.2,200,197,0.13370709981562146,0.15513812264932025,0.021431022833698812,-0.017487688859861905,0.06549167428774831,0.8
carlstrom_phyllosphere_2019,0.4,200,395,0.14117078334994962,0.16923489804880007,0.028064114698850416,-0.021591117464607925,0.06857979705933807,0.895
carlstrom_phyllosphere_2019,0.6,200,593,0.14469640171753373,0.18073467217338204,0.03603827045584828,-0.01346402364010628,0.09660056906098675,0.875
schafer_phyllosphere_2022,0.2,200,304,0.193754987629522,0.21530763046587625,0.021552642836354222,-0.1017034672836521,0.17529699417205685,0.635
schafer_phyllosphere_2022,0.4,200,609,0.2273653490269939,0.23681817843240627,0.009452829405412389,-0.06335443392597047,0.09021603310662762,0.665
schafer_phyllosphere_2022,0.6,200,914,0.2333171860161383,0.24240455986134354,0.009087373845205238,-0.0709688914572494,0.07434945082610678,0.63
friedman_microcosm_2017,0.2,200,5,0.6351604641926234,0.5848942523342938,-0.05026621185832944,-0.11704113484712075,0.03699790372012964,0.16
friedman_microcosm_2017,0.4,200,11,0.6168111899026576,0.5817987625010841,-0.0350124274015735,-0.14477509296259286,0.049373150143896,0.18
friedman_microcosm_2017,0.6,200,16,0.6212262369089712,0.5589879659279875,-0.06223827098098369,-0.2151597856508571,0.05330281047077927,0.15
